#{"t_start": 1654696521.4454298, "env_id": "env.spec.id"}
r,l,t
-53,3,0.097451
-103,53,0.119457
-68,18,0.126459
-95,45,0.144462
-66,16,0.150463
-75,25,0.160465
-53,3,0.162466
-91,41,0.178469
-140,90,0.212477
-101,51,0.232482
-78,28,0.243484
-53,3,0.245485
-54,4,0.247485
-70,20,0.255486
-69,19,0.263489
-86,36,0.277492
-52,2,0.279493
-53,3,0.280493
-52,2,0.282493
-72,22,0.291495
-78,28,0.3025
-70,20,0.310503
-82,32,0.322505
-68,18,0.330507
-54,4,0.332507
-59,9,0.336508
-63,13,0.341509
-58,8,0.34551
-68,18,0.352512
-64,14,0.358513
-76,26,0.368515
-72,22,0.377517
-57,7,0.380518
-63,13,0.385519
-72,22,0.394521
-74,24,0.404523
-82,32,0.417526
-58,8,0.421527
-67,17,0.427529
-56,6,0.430529
-80,30,0.443532
-60,10,0.447533
-92,42,0.464537
-75,25,0.474539
-96,46,0.492544
-54,4,0.494543
-60,10,0.498544
-69,19,0.506546
-67,17,0.513548
-68,18,0.52055
-69,19,0.528552
-64,14,0.534552
-58,8,0.537553
-79,29,0.549556
-79,29,0.560559
-54,4,0.562559
-52,2,0.56356
-62,12,0.56856
-68,18,0.576562
-53,3,0.577562
-71,21,0.586564
-57,7,0.589565
-69,19,0.596567
-58,8,0.600568
-64,14,0.606569
-52,2,0.607569
-53,3,0.60957
-55,5,0.61157
-72,22,0.620572
-68,18,0.627574
-93,43,0.643577
-97,47,0.661581
-52,2,0.663582
-68,18,0.670583
-63,13,0.675584
-55,5,0.678585
-62,12,0.683587
-71,21,0.691588
-56,6,0.694588
-65,15,0.70059
-67,17,0.707592
-82,32,0.721595
-59,9,0.725595
-98,48,0.743599
-63,13,0.749601
-54,4,0.751602
-54,4,0.753602
-82,32,0.766605
-61,11,0.770606
-65,15,0.776607
-68,18,0.784609
-60,10,0.78861
-58,8,0.792611
-84,34,0.805613
-52,2,0.807614
-63,13,0.812615
-52,2,0.814615
-62,12,0.819617
-55,5,0.821617
-75,25,0.83162
-55,5,0.833621
-66,16,0.840622
-88,38,0.855625
-58,8,0.858626
-56,6,0.861626
-52,2,0.862627
28,22,0.871628
-67,17,0.878631
-78,28,0.889633
-70,20,0.897635
-54,4,0.899635
-58,8,0.903636
-89,39,0.918639
-64,14,0.92464
-71,21,0.932642
-99,49,0.951646
-61,11,0.956648
-62,12,0.961649
-61,11,0.96565
-60,10,0.970651
-61,11,0.975652
-83,33,0.987654
-60,10,0.992656
-60,10,0.996657
-77,27,1.007659
-91,41,1.023663
-57,7,1.026663
-54,4,1.028664
-57,7,1.031664
-70,20,1.039666
-65,15,1.045668
-73,23,1.05567
-54,4,1.05767
-76,26,1.067672
-109,59,1.090678
-66,16,1.096679
-52,2,1.097679
-100,100,1.135688
-124,74,1.163694
-63,13,1.169696
-84,34,1.182699
-73,23,1.1917
-55,5,1.193701
-75,25,1.203703
-81,31,1.215706
-65,15,1.221707
-69,19,1.22971
-56,6,1.23271
-52,2,1.23371
-61,11,1.238711
-56,6,1.241712
-74,24,1.250714
-53,3,1.252715
-67,17,1.259716
-54,4,1.261716
-65,15,1.267718
-52,2,1.268718
-56,6,1.271718
-63,13,1.27772
-54,4,1.279721
-63,13,1.284722
-52,2,1.286722
-56,6,1.288723
-69,19,1.296724
-60,10,1.300725
-52,2,1.302726
-73,23,1.311727
-62,12,1.316729
-52,2,1.317729
-63,13,1.32373
-60,10,1.327731
-52,2,1.328732
-95,45,1.346735
11,39,1.361739
-59,9,1.36474
-53,3,1.36674
-83,33,1.379744
-53,3,1.381743
-84,34,1.394746
-62,12,1.399748
-58,8,1.402748
-55,5,1.405748
-85,35,1.418752
-65,15,1.424753
-71,21,1.433755
-60,10,1.437756
-56,6,1.440757
-52,2,1.441757
-71,21,1.450759
-64,14,1.45576
-54,4,1.45776
-61,11,1.462762
-99,49,1.481766
-25,75,1.509772
-65,15,1.516774
-66,16,1.522775
-54,4,1.524776
-67,17,1.531777
-60,10,1.535778
-74,24,1.54578
-58,8,1.548781
-63,13,1.554782
-69,19,1.561784
-74,24,1.571786
-55,5,1.573786
-57,7,1.576788
-54,4,1.578788
-74,24,1.58879
-68,18,1.595792
-53,3,1.597792
-56,6,1.600793
-67,17,1.606794
-55,5,1.609795
-59,9,1.613796
-68,18,1.620797
-54,4,1.622798
-66,16,1.629799
-71,21,1.637801
-62,12,1.642802
-62,12,1.647803
-77,27,1.658806
-67,17,1.665807
-62,12,1.670809
-84,34,1.683811
-108,58,1.705817
-61,11,1.710818
-67,17,1.717819
-55,5,1.71982
-61,11,1.72482
-67,17,1.731822
-52,2,1.732823
-57,7,1.735824
-60,10,1.739824
16,34,1.753827
-61,11,1.757828
-95,45,1.775832
-59,9,1.779833
-61,11,1.783834
-60,10,1.788835
-79,29,1.799837
-93,43,1.816841
-105,55,1.837846
-57,7,1.840847
-60,10,1.844848
-78,28,1.85785
-75,25,1.867852
-54,4,1.869853
-76,26,1.880856
-75,25,1.890858
-65,15,1.896859
-98,48,1.915864
-73,23,1.924865
-78,28,1.935868
-53,3,1.937869
-78,28,1.948871
-56,6,1.951872
-73,23,1.960874
-66,16,1.966875
-60,10,1.971876
-70,20,1.979878
-80,30,1.991881
-56,6,1.993881
-60,10,1.998882
-59,9,2.001883
-69,19,2.009884
-54,4,2.011885
-60,10,2.016886
-62,12,2.021887
-90,40,2.036891
-118,68,2.062896
-53,3,2.064897
-79,29,2.0759
-84,34,2.088902
-58,8,2.092903
-71,21,2.100905
-53,3,2.102906
-52,2,2.103906
-57,7,2.107907
-53,3,2.108907
-130,80,2.139914
-73,23,2.148916
-83,33,2.161919
-58,8,2.16592
-70,20,2.173921
-53,3,2.175922
-67,17,2.182924
-88,38,2.197927
-61,11,2.201928
-85,35,2.215931
-75,25,2.225933
-54,4,2.227933
-59,9,2.231935
-77,27,2.242937
-70,20,2.250939
-68,18,2.25794
-55,5,2.259941
-82,32,2.272944
-53,3,2.274944
-76,26,2.284946
-55,5,2.287947
-64,14,2.292948
-67,17,2.299949
-80,30,2.311953
-73,23,2.320955
-103,53,2.341959
-71,21,2.349961
-92,42,2.366965
-65,15,2.372966
-66,16,2.378968
-64,14,2.384969
-60,10,2.38897
-67,17,2.395972
-59,9,2.400973
-89,39,2.415976
-80,30,2.426979
-62,12,2.43198
-53,3,2.43398
-55,5,2.436981
-63,13,2.441982
-56,6,2.444983
-86,36,2.458986
-72,22,2.467987
-77,27,2.47899
-53,3,2.47999
-71,21,2.488992
-55,5,2.490993
-77,27,2.501996
-57,7,2.505996
-114,64,2.530002
-55,5,2.532002
-67,17,2.540004
-59,9,2.543005
-53,3,2.545005
-81,31,2.557008
-69,19,2.565009
-53,3,2.56701
-59,9,2.571011
-60,10,2.575012
-52,2,2.576012
-66,16,2.583014
-88,38,2.598017
-52,2,2.599017
-71,21,2.607019
-66,16,2.61402
-94,44,2.631024
-66,16,2.638026
-52,2,2.639026
-64,14,2.645028
-81,31,2.65703
-59,9,2.661031
-71,21,2.669033
-79,29,2.681036
-119,69,2.707042
-63,13,2.712043
-57,7,2.716043
-62,12,2.721045
-75,25,2.731047
-53,3,2.732047
-56,6,2.735048
-53,3,2.737048
-73,23,2.746051
-126,76,2.775057
-110,60,2.798062
-79,29,2.809065
-53,3,2.811065
-63,13,2.817066
-65,15,2.823068
-71,21,2.831069
-54,4,2.83307
-75,25,2.843072
-63,13,2.849074
-61,11,2.853075
-59,9,2.858076
-60,10,2.862077
-73,23,2.871079
-69,19,2.87908
-57,7,2.882081
-56,6,2.885082
-52,2,2.886082
-59,9,2.890083
-79,29,2.902086
-77,27,2.912088
-75,25,2.92209
-57,7,2.925091
-61,11,2.930092
-55,5,2.932092
-85,35,2.946095
-53,3,2.947095
-73,23,2.957098
-77,27,2.9671
-84,34,2.980103
-100,100,3.018112
-59,9,3.022113
-79,29,3.034115
-69,19,3.042117
-70,20,3.050119
-72,22,3.059121
-66,16,3.065122
-52,2,3.066123
-57,7,3.070123
-78,28,3.081126
-70,20,3.089128
-77,27,3.10013
-109,59,3.122135
-72,22,3.131137
28,22,3.140139
-67,17,3.147141
-78,28,3.158143
31,19,3.166145
-54,4,3.168145
-60,10,3.172146
-56,6,3.175147
-58,8,3.179148
-53,3,3.180148
-66,16,3.18715
-87,37,3.201153
-70,20,3.209155
-57,7,3.212155
-99,49,3.231159
-58,8,3.23516
-54,4,3.237161
-56,6,3.240162
-82,32,3.252164
-54,4,3.254165
-84,34,3.268168
-62,12,3.273169
-77,27,3.284172
-90,40,3.300175
-81,31,3.312178
-53,3,3.314178
-67,17,3.32118
-52,2,3.32218
-54,4,3.324181
-98,48,3.343185
-57,7,3.346186
-67,17,3.353187
-64,14,3.359189
-57,7,3.362189
-73,23,3.371191
-59,9,3.375192
-63,13,3.380193
-62,12,3.385194
-111,61,3.4092
-54,4,3.4112
