#{"t_start": 1656774674.5756898, "env_id": "env.spec.id"}
r,l,t
-75,25,0.116299
-16,66,0.155308
-90,40,0.180313
-76,26,0.196317
-89,39,0.221323
-66,16,0.231325
-67,17,0.242327
-52,2,0.244328
-52,2,0.246328
-63,13,0.25533
-55,5,0.258331
-109,59,0.296339
-97,47,0.325346
-56,6,0.329347
-60,10,0.336349
-79,29,0.354352
-77,27,0.371357
-57,7,0.376357
-81,31,0.396362
-66,16,0.406364
-68,18,0.418367
-77,27,0.43537
-68,18,0.447373
-58,8,0.452374
-61,11,0.459376
-56,6,0.464377
-54,4,0.467378
-75,25,0.483382
-54,4,0.486382
-52,2,0.488382
-54,4,0.491383
-71,21,0.504386
-55,5,0.508389
-65,15,0.518389
-83,33,0.538393
-89,39,0.562399
-82,32,0.582403
-79,29,0.601408
-64,14,0.61041
-59,9,0.616411
-56,6,0.621627
-69,19,0.633629
-92,42,0.659635
-52,2,0.661636
-94,44,0.689642
-81,31,0.708646
-55,5,0.712647
-90,40,0.737653
-84,34,0.758657
-57,7,0.763659
-68,18,0.775661
-52,2,0.777662
-57,7,0.782663
-56,6,0.786664
-62,12,0.794665
-80,30,0.81467
-59,9,0.820671
-86,36,0.842676
-69,19,0.854679
31,19,0.866682
-69,19,0.879684
-60,10,0.885686
-68,18,0.897689
-55,5,0.90169
-78,28,0.919693
-96,46,0.9477
-81,31,0.966704
-64,14,0.975706
-88,38,0.998711
-87,37,1.022717
-52,2,1.024717
-52,2,1.026717
-57,7,1.031718
-71,21,1.044722
-59,9,1.050723
-77,27,1.067727
-62,12,1.075728
-78,28,1.092732
-62,12,1.100734
-92,42,1.12674
-53,3,1.129741
-71,21,1.142744
-62,12,1.149745
-59,9,1.155746
-70,20,1.16875
-57,7,1.17275
-62,12,1.180752
-63,13,1.188754
-86,36,1.211759
-64,14,1.220761
-61,11,1.227763
-60,10,1.234764
-53,3,1.236765
-56,6,1.241766
-60,10,1.247767
-84,34,1.268772
-74,24,1.284775
-98,48,1.314782
-55,5,1.318783
-54,4,1.323784
-103,53,1.356792
-68,18,1.367794
-61,11,1.375796
-69,19,1.386798
-62,12,1.395801
-99,49,1.425807
-85,35,1.448812
-86,36,1.471817
-71,21,1.48482
-63,13,1.493822
-63,13,1.501824
-100,100,1.562838
-100,50,1.593845
-96,46,1.622851
-84,34,1.644856
-63,13,1.652858
-56,6,1.657859
-119,69,1.699868
-74,24,1.714872
31,19,1.726875
-65,15,1.736877
-72,22,1.75088
-71,21,1.763883
-58,8,1.768884
-77,27,1.784888
-53,3,1.787888
-112,62,1.826897
-56,6,1.831898
-65,15,1.8409
-60,10,1.847902
-71,21,1.859905
-56,6,1.864906
-101,51,1.895912
-60,10,1.902914
-74,24,1.918918
-69,19,1.93092
-53,3,1.933921
-61,11,1.939922
-60,10,1.946924
-71,21,1.960927
-55,5,1.963928
-53,3,1.966928
-56,6,1.970929
-87,37,1.994935
-55,5,1.998936
-58,8,2.003937
-135,85,2.058949
