#{"t_start": 1657056861.3034909, "env_id": "env.spec.id"}
r,l,t
-56,6,0.010642
-87,37,0.040648
-65,15,0.051651
-56,6,0.057653
-53,3,0.060652
-60,10,0.068654
-62,12,0.076565
-54,4,0.080566
-117,67,0.126576
-54,4,0.130577
-57,7,0.136579
-63,13,0.146583
-79,29,0.166588
-57,7,0.17459
-52,2,0.17659
-60,10,0.184593
-53,3,0.187592
-75,25,0.207597
-70,20,0.2226
-66,16,0.234602
-80,30,0.260609
-61,11,0.268611
-57,7,0.274613
-77,27,0.293616
-63,13,0.30362
-77,27,0.325623
-57,7,0.331624
-59,9,0.338626
-54,4,0.342627
-60,10,0.34963
-55,5,0.354124
-57,7,0.360122
-75,25,0.377126
-58,8,0.384128
-54,4,0.387127
-83,33,0.410133
-55,5,0.415134
-54,4,0.418135
-59,9,0.425888
-52,2,0.427889
-86,36,0.453896
-68,18,0.467898
-95,45,0.499926
-71,21,0.513928
-68,18,0.527931
-60,10,0.534933
-58,8,0.540934
-57,7,0.546935
-66,16,0.559039
-80,30,0.580044
-56,6,0.585047
-74,24,0.60305
-8,58,0.642038
-59,9,0.64904
-60,10,0.657041
-69,19,0.671044
-64,14,0.684047
-70,20,0.70005
-52,2,0.702051
-65,15,0.713054
-57,7,0.718056
-70,20,0.733061
-62,12,0.741063
-53,3,0.744063
-52,2,0.746064
-53,3,0.749065
-108,58,0.790098
-94,44,0.819918
-62,12,0.830922
-55,5,0.834923
-102,52,0.869931
-62,12,0.878932
-54,4,0.881932
-67,17,0.894936
-57,7,0.901937
-75,25,0.920941
-58,8,0.926944
-84,34,0.950964
-61,11,0.958966
-54,4,0.961967
-74,24,0.981972
-66,16,0.994974
-64,14,1.004582
-59,9,1.011163
-62,12,1.021165
-85,35,1.04617
-61,11,1.053942
-57,7,1.059941
-55,5,1.063452
-85,35,1.088737
-93,43,1.119435
-71,21,1.13644
-65,15,1.148443
-82,32,1.174448
-68,18,1.190451
-69,19,1.204455
-55,5,1.209455
-54,4,1.216457
-52,2,1.218459
-79,29,1.241462
-53,3,1.245464
-73,23,1.262351
-58,8,1.268351
-63,13,1.280354
-57,7,1.285354
-75,25,1.303358
-86,36,1.329365
-69,19,1.343367
-61,11,1.351369
-72,22,1.367053
-60,10,1.376055
-80,30,1.399061
-58,8,1.405063
-56,6,1.410063
-93,43,1.441071
-58,8,1.447072
-64,14,1.457074
-56,6,1.462075
-60,10,1.469584
-59,9,1.476585
-63,13,1.486587
-54,4,1.490589
-66,16,1.504593
-52,2,1.506592
-61,11,1.515594
-75,25,1.5336
-63,13,1.543603
-60,10,1.550902
-61,11,1.560079
-57,7,1.565584
-53,3,1.567585
-67,17,1.579587
-61,11,1.588589
-64,14,1.598591
-58,8,1.604594
-61,11,1.612595
-52,2,1.615595
-83,33,1.6376
-62,12,1.647603
-77,27,1.666781
-68,18,1.681787
-63,13,1.692312
-52,2,1.694313
-52,2,1.696313
-54,4,1.699314
-53,3,1.702314
-53,3,1.705316
-62,12,1.715317
-64,14,1.72532
-73,23,1.742323
-61,11,1.752326
-91,41,1.781333
-66,16,1.793335
-52,2,1.796336
-85,35,1.821341
-54,4,1.825342
-53,3,1.828342
-70,20,1.844347
-106,56,1.883354
-77,27,1.901482
-68,18,1.915486
-63,13,1.926489
-52,2,1.928489
-65,15,1.941249
-61,11,1.949251
-52,2,1.955738
-53,3,1.958737
33,17,1.970748
-82,32,1.993768
-54,4,1.996914
-57,7,2.001913
-70,20,2.017044
-91,41,2.046805
-71,21,2.061811
-57,7,2.067813
-59,9,2.073813
-59,9,2.080818
-54,4,2.083818
-56,6,2.08919
-71,21,2.10403
-70,20,2.118307
-59,9,2.127309
-64,14,2.140311
-60,10,2.148313
-52,2,2.151314
-56,6,2.156316
-58,8,2.162302
-81,31,2.184307
-78,28,2.203942
-63,13,2.213944
-60,10,2.220945
-72,22,2.236948
-63,13,2.247951
-57,7,2.252954
-52,2,2.254954
-80,30,2.277958
-58,8,2.284466
24,26,2.30249
-96,46,2.334498
-63,13,2.3435
-64,14,2.354502
-91,41,2.382508
-58,8,2.388509
-70,20,2.402688
-62,12,2.412693
-52,2,2.414712
-58,8,2.422714
-60,10,2.429715
-62,12,2.439718
-57,7,2.444719
-63,13,2.454721
-80,30,2.476727
-57,7,2.481728
-76,26,2.500731
-74,24,2.516735
-53,3,2.519736
-66,16,2.531739
-54,4,2.535738
-63,13,2.54474
-53,3,2.547741
-56,6,2.553743
-66,16,2.565746
-54,4,2.568746
-87,37,2.594752
-63,13,2.603754
-88,38,2.633777
-82,32,2.656872
-62,12,2.665864
-55,5,2.669865
-54,4,2.67437
-53,3,2.677372
-59,9,2.684373
-54,4,2.687372
-72,22,2.705378
-126,76,2.758442
-53,3,2.761441
-76,26,2.779447
-87,37,2.806377
-53,3,2.809377
-60,10,2.817379
-57,7,2.82338
-52,2,2.825381
-59,9,2.831383
-69,19,2.845406
-55,5,2.850408
-107,57,2.890416
-62,12,2.899419
-54,4,2.903419
