#{"t_start": 1656968388.0848045, "env_id": "env.spec.id"}
r,l,t
-58,8,0.007002
-58,8,0.010002
-66,16,0.017004
-52,2,0.018004
-116,66,0.04201
-72,22,0.050011
-60,10,0.055012
-53,3,0.056013
-70,20,0.064015
-91,41,0.079018
-56,6,0.082019
-64,14,0.08802
-55,5,0.09002
-54,4,0.092021
-54,4,0.094022
-90,40,0.109025
-58,8,0.112025
-55,5,0.114026
-71,21,0.122028
-53,3,0.124028
-69,19,0.13103
-112,62,0.154036
-65,15,0.160036
-62,12,0.165038
-59,9,0.168038
-90,40,0.183041
-63,13,0.188043
-72,22,0.197045
-54,4,0.199045
-103,53,0.218049
-62,12,0.223051
-105,55,0.243055
-76,26,0.253057
-52,2,0.254058
-74,24,0.263059
-56,6,0.26606
-54,4,0.26806
-54,4,0.270061
-76,26,0.280064
-57,7,0.283064
-52,2,0.284065
-76,26,0.294066
-53,3,0.296067
-55,5,0.298067
-68,18,0.305069
-66,16,0.31107
-89,39,0.326074
-74,24,0.335076
-112,62,0.358081
-56,6,0.360081
-73,23,0.369083
-103,53,0.388088
-58,8,0.392088
-56,6,0.39409
-54,4,0.39609
-64,14,0.402091
-64,14,0.407092
-78,28,0.418095
-52,2,0.419095
-65,15,0.425096
-55,5,0.427096
-59,9,0.431098
-61,11,0.435099
-63,13,0.440099
-70,20,0.448102
-71,21,0.456242
-73,23,0.464243
-55,5,0.467244
-77,27,0.477246
-66,16,0.483248
-64,14,0.489249
-83,33,0.501251
-72,22,0.509254
-62,12,0.514255
-76,26,0.524257
-68,18,0.531258
-80,30,0.542261
-75,25,0.552263
-52,2,0.553263
-77,27,0.563266
-52,2,0.564266
-53,3,0.566267
-64,14,0.571267
-75,25,0.58127
-75,25,0.590272
-77,27,0.600274
-79,29,0.611277
-52,2,0.613277
-62,12,0.617278
-61,11,0.622279
-52,2,0.623279
-82,32,0.635282
-60,10,0.639283
-56,6,0.642284
-61,11,0.646285
-61,11,0.650285
-52,2,0.652286
-61,11,0.656287
-76,26,0.666289
-90,40,0.681292
-57,7,0.684294
-67,17,0.690294
-101,51,0.709299
-75,25,0.719301
-53,3,0.720301
-59,9,0.724302
