#{"t_start": 1657064567.7895222, "env_id": "env.spec.id"}
r,l,t
-56,6,0.100619
-86,36,0.114622
-53,3,0.116623
-70,20,0.124624
-78,28,0.135627
-53,3,0.136627
-87,37,0.15063
-52,2,0.151631
-75,25,0.161632
-61,11,0.165634
-73,23,0.174635
-80,30,0.185639
-62,12,0.190639
-57,7,0.19364
-56,6,0.19664
-66,16,0.202641
-69,19,0.209643
-77,27,0.220646
-52,2,0.221646
-57,7,0.224647
-70,20,0.232648
-60,10,0.236649
-58,8,0.23965
-72,22,0.247652
-54,4,0.250652
-62,12,0.254653
-70,20,0.262656
-55,5,0.264656
-66,16,0.270657
-91,41,0.28666
-52,2,0.287661
-52,2,0.288661
-61,11,0.293662
-71,21,0.301664
-52,2,0.302664
-59,9,0.305674
-57,7,0.308669
-55,5,0.31167
-52,2,0.31267
-62,12,0.317672
-61,11,0.321672
-53,3,0.323673
-55,5,0.325675
-60,10,0.329676
-52,2,0.331677
-55,5,0.333676
-56,6,0.336678
-54,4,0.337678
-54,4,0.339678
-66,16,0.34668
-68,18,0.352682
-76,26,0.362683
-54,4,0.364684
-52,2,0.365685
-68,18,0.372685
-62,12,0.377687
-64,14,0.383688
-60,10,0.38769
-78,28,0.397692
-63,13,0.402692
-66,16,0.409694
-59,9,0.412694
-68,18,0.419696
-52,2,0.420696
-63,13,0.426697
-70,20,0.433699
-61,11,0.4387
-60,10,0.442702
-66,16,0.448703
-54,4,0.450703
-115,65,0.474709
-80,30,0.485711
-56,6,0.488712
-102,52,0.507716
-68,18,0.515718
-60,10,0.520718
-52,2,0.521719
-79,29,0.533722
-57,7,0.536722
-67,17,0.543724
-81,31,0.555565
-59,9,0.560566
-57,7,0.563566
23,27,0.57457
-66,16,0.581571
-68,18,0.587572
-65,15,0.593573
-88,38,0.607577
-81,31,0.619579
-112,62,0.642585
-70,20,0.649586
-69,19,0.657588
-62,12,0.661588
-62,12,0.666589
-58,8,0.66959
-74,24,0.678594
-62,12,0.683593
-53,3,0.685594
-90,40,0.699598
-72,22,0.708599
-62,12,0.7136
-80,30,0.724603
-66,16,0.730604
-54,4,0.732605
-58,8,0.736606
-56,6,0.738605
-79,29,0.749608
-59,9,0.753608
-86,36,0.766612
-66,16,0.772613
-53,3,0.774614
-59,9,0.777614
15,35,0.790617
-86,36,0.804621
-61,11,0.808621
-79,29,0.819624
-63,13,0.824625
-65,15,0.830626
-73,23,0.839628
-52,2,0.840628
-53,3,0.841629
-70,20,0.849148
-87,37,0.864153
-72,22,0.872161
-60,10,0.877164
-65,15,0.883165
-63,13,0.88817
-53,3,0.88917
-73,23,0.898175
-62,12,0.903176
-57,7,0.906179
-55,5,0.908181
-103,53,0.927112
-74,24,0.937116
-74,24,0.94557
-113,63,0.968572
-58,8,0.972572
-60,10,0.976575
-57,7,0.979576
-55,5,0.981576
-90,40,0.996584
-53,3,0.998586
-62,12,1.002586
-53,3,1.004586
-58,8,1.00759
-68,18,1.014592
-57,7,1.017595
-91,41,1.033602
-71,21,1.041605
-69,19,1.048609
-54,4,1.050609
-85,35,1.063614
-52,2,1.064614
-74,24,1.073618
-57,7,1.076621
-96,46,1.092626
-72,22,1.101632
-78,28,1.111564
-57,7,1.114564
-66,16,1.120568
-74,24,1.130572
-62,12,1.134572
-55,5,1.136575
-52,2,1.138576
-65,15,1.143577
-75,25,1.153581
-124,74,1.180567
-56,6,1.182569
-77,27,1.192575
-62,12,1.197561
25,25,1.207564
-59,9,1.210565
-67,17,1.217568
-62,12,1.221569
-61,11,1.226572
-52,2,1.227573
-82,32,1.239577
-61,11,1.243578
-67,17,1.250582
-72,22,1.258587
-56,6,1.261587
-66,16,1.267591
-57,7,1.270591
-59,9,1.273592
-67,17,1.280596
-62,12,1.285607
-53,3,1.286598
-64,14,1.292601
-65,15,1.298604
-52,2,1.299604
-53,3,1.300604
-66,16,1.306607
-61,11,1.311608
-55,5,1.313608
-66,16,1.319612
-124,74,1.34657
-93,43,1.362577
-59,9,1.365587
-79,29,1.376584
-70,20,1.384585
-76,26,1.39359
-89,39,1.408561
-81,31,1.419561
-67,17,1.426565
-71,21,1.434566
-63,13,1.439571
-62,12,1.444572
-55,5,1.446575
-65,15,1.452576
-62,12,1.45758
-66,16,1.463581
-70,20,1.471584
-55,5,1.473585
-69,19,1.480588
-76,26,1.490552
-69,19,1.497556
-55,5,1.500556
-81,31,1.511562
-56,6,1.514562
-56,6,1.516563
-57,7,1.519564
-74,24,1.528568
-52,2,1.529568
-55,5,1.532569
-106,56,1.552577
-52,2,1.553579
-67,17,1.560582
-53,3,1.561581
-96,46,1.57859
-56,6,1.58159
-56,6,1.583591
-86,36,1.597676
-62,12,1.601676
-57,7,1.604677
-79,29,1.615559
-77,27,1.625564
-71,21,1.633559
-56,6,1.636562
-58,8,1.639563
-69,19,1.646566
-55,5,1.649568
-53,3,1.650568
-69,19,1.657571
-86,36,1.671575
-76,26,1.681563
-100,50,1.699572
-71,21,1.707559
-104,54,1.728551
-52,2,1.729551
-102,52,1.748561
-70,20,1.756564
-64,14,1.761566
-109,59,1.783575
-62,12,1.787578
-90,40,1.802583
-68,18,1.809587
-70,20,1.817591
-78,28,1.827594
-52,2,1.828595
-69,19,1.835607
-54,4,1.837599
-58,8,1.8416
-71,21,1.849605
-64,14,1.854607
19,31,1.866565
-76,26,1.875579
-56,6,1.87857
-79,29,1.889575
-64,14,1.894576
-55,5,1.897579
-70,20,1.90458
-64,14,1.910583
-59,9,1.913584
