#{"t_start": 1654717598.7506099, "env_id": "env.spec.id"}
r,l,t
-53,3,0.008002
-68,18,0.024005
-71,21,0.042009
-59,9,0.051011
-61,11,0.061013
-52,2,0.064014
-65,15,0.077017
-92,42,0.113025
-64,14,0.125028
-73,23,0.145032
-66,16,0.159036
-53,3,0.163037
-103,53,0.207046
-52,2,0.210047
17,33,0.238053
-77,27,0.261059
-53,3,0.265059
-54,4,0.26906
-72,22,0.288064
-52,2,0.291065
-52,2,0.294067
-59,9,0.303068
-52,2,0.306068
-64,14,0.318071
-68,18,0.334075
-63,13,0.346077
-79,29,0.370084
-65,15,0.384086
-59,9,0.392088
-52,2,0.395089
-54,4,0.40009
-88,38,0.432097
-59,9,0.440099
-54,4,0.4451
-101,51,0.48711
-96,46,0.526118
-67,17,0.541121
-67,17,0.556125
-54,4,0.560126
-68,18,0.576129
34,16,0.590133
-56,6,0.59751
-66,16,0.611513
-56,6,0.617515
-70,20,0.635519
-75,25,0.656523
-57,7,0.663525
-69,19,0.680529
-66,16,0.694532
-54,4,0.698533
-81,31,0.724538
-55,5,0.73054
-65,15,0.743543
-68,18,0.759547
-54,4,0.763547
-125,75,0.826561
-52,2,0.829562
-64,14,0.842565
-82,32,0.869572
-70,20,0.887575
-80,30,0.913581
-63,13,0.925584
-53,3,0.928585
-74,24,0.949589
-62,12,0.961592
-58,8,0.969594
-65,15,0.982597
-52,2,0.985597
-72,22,1.005602
-63,13,1.017605
-52,2,1.020606
-81,31,1.047611
-55,5,1.052613
-62,12,1.063615
-58,8,1.071617
-83,33,1.099623
-68,18,1.115627
-52,2,1.118628
-75,25,1.140632
-52,2,1.143633
-61,11,1.153635
-68,18,1.169639
-66,16,1.183642
-66,16,1.197645
-64,14,1.210648
-64,14,1.223651
-56,6,1.229652
-59,9,1.238654
-71,21,1.256659
-80,30,1.281779
-71,21,1.300784
-54,4,1.304785
-58,8,1.312787
-76,26,1.334791
-56,6,1.340793
-53,3,1.344794
-56,6,1.350795
-58,8,1.358797
-59,9,1.366799
-67,17,1.381802
-68,18,1.397805
-54,4,1.402807
-70,20,1.419811
22,28,1.443816
-53,3,1.447817
-64,14,1.459819
-57,7,1.466821
-73,23,1.486825
-56,6,1.492827
-75,25,1.514832
-53,3,1.517833
-60,10,1.527835
-61,11,1.537837
-76,26,1.559842
-65,15,1.573845
-57,7,1.580847
-70,20,1.59785
-59,9,1.606853
-74,24,1.626857
-96,46,1.665866
-54,4,1.669867
-52,2,1.672868
-56,6,1.678869
-65,15,1.691872
-62,12,1.702874
-69,19,1.719878
-65,15,1.732881
-54,4,1.737882
-64,14,1.749885
-72,22,1.769889
-90,40,1.802897
-73,23,1.822901
-56,6,1.829903
-64,14,1.841906
-60,10,1.851908
-68,18,1.867911
-57,7,1.874913
-62,12,1.885916
-80,30,1.910921
-88,38,1.942928
-61,11,1.952931
-58,8,1.960932
-76,26,1.982937
-60,10,1.992939
-59,9,2.001941
-54,4,2.005943
-78,28,2.029948
-63,13,2.04195
-63,13,2.053953
-53,3,2.057954
-56,6,2.063955
-55,5,2.068957
-124,74,2.129971
-29,79,2.195986
-61,11,2.205988
-79,29,2.230993
-81,31,2.256999
-72,22,2.276003
-58,8,2.284005
-103,53,2.328015
-53,3,2.332016
-74,24,2.352021
-69,19,2.369024
-86,36,2.400032
-66,16,2.414035
-95,45,2.451043
-58,8,2.459045
-64,14,2.471048
-68,18,2.487051
-52,2,2.490052
-80,30,2.515058
-59,9,2.52406
-61,11,2.534202
-73,23,2.554207
-89,39,2.586215
-58,8,2.594216
-62,12,2.605219
-66,16,2.619223
-53,3,2.623223
-54,4,2.627224
-63,13,2.639227
-68,18,2.65523
-68,18,2.671234
-64,14,2.683237
-108,58,2.731248
-52,2,2.734248
-69,19,2.750251
-52,2,2.753252
-86,36,2.784259
-80,30,2.809264
-63,13,2.822267
-63,13,2.83427
-58,8,2.841272
-58,8,2.849274
-57,7,2.856275
-62,12,2.867277
-56,6,2.873279
-77,27,2.896405
-71,21,2.91541
-53,3,2.91841
-62,12,2.929412
-71,21,2.947416
-55,5,2.953418
-57,7,2.96042
-54,4,2.96442
-66,16,2.978424
-83,33,3.00643
-55,5,3.012431
-63,13,3.024434
-102,52,3.067444
-58,8,3.075445
-59,9,3.083447
-56,6,3.089449
-68,18,3.105452
-66,16,3.119455
-89,39,3.153463
-120,70,3.211476
-81,31,3.237482
-62,12,3.248484
-59,9,3.256486
-54,4,3.261487
-52,2,3.264488
-53,3,3.267488
-81,31,3.294494
-86,36,3.324502
-92,42,3.36051
-75,25,3.381515
-88,38,3.414522
-52,2,3.416522
-66,16,3.431526
-58,8,3.439528
-53,3,3.443528
-75,25,3.464533
-67,17,3.479537
-71,21,3.498541
-69,19,3.514544
33,17,3.529548
-54,4,3.534549
-63,13,3.545551
-66,16,3.559555
-57,7,3.566556
-58,8,3.574558
-104,54,3.619568
-62,12,3.63057
-63,13,3.642573
-60,10,3.651575
-52,2,3.654576
-66,16,3.669579
-56,6,3.675581
-69,19,3.692585
-56,6,3.698586
23,27,3.722592
-54,4,3.727593
-73,23,3.747597
-70,20,3.764601
-54,4,3.769603
-70,20,3.786606
-62,12,3.797608
-64,14,3.810611
-57,7,3.817614
-95,45,3.855621
-56,6,3.861623
-53,3,3.865624
-54,4,3.869625
-92,42,3.905774
-58,8,3.913776
-64,14,3.92678
-57,7,3.93278
-64,14,3.945783
-57,7,3.952785
-57,7,3.959786
-89,39,3.992794
-64,14,4.004797
-138,88,4.077813
-54,4,4.081814
-63,13,4.093817
-84,34,4.122824
-52,2,4.124823
-62,12,4.135826
-68,18,4.15183
-64,14,4.164832
-53,3,4.168834
-54,4,4.172834
-56,6,4.178836
-52,2,4.181837
-53,3,4.185838
-58,8,4.193839
-72,22,4.212843
-59,9,4.221846
-70,20,4.238849
-80,30,4.264855
-70,20,4.282859
-55,5,4.28786
-70,20,4.304864
-52,2,4.307865
-106,56,4.354875
26,24,4.37588
-63,13,4.386883
-64,14,4.399885
-60,10,4.408888
-62,12,4.41989
-56,6,4.425891
23,27,4.448897
-79,29,4.472903
-90,40,4.50691
-83,33,4.534916
-57,7,4.540918
-52,2,4.543918
-59,9,4.55292
-61,11,4.562922
-61,11,4.572925
-52,2,4.575925
-60,10,4.584928
-66,16,4.59893
-57,7,4.605932
-60,10,4.615934
-83,33,4.64294
-52,2,4.645941
-82,32,4.672947
-90,40,4.706955
-65,15,4.719958
-57,7,4.726959
-54,4,4.73096
-76,26,4.752965
-120,70,4.810978
-57,7,4.81798
-55,5,4.822981
-68,18,4.838984
-64,14,4.851988
-61,11,4.86199
-52,2,4.864991
-55,5,4.869992
-62,12,4.881994
-67,17,4.896998
-67,17,4.912001
-59,9,4.920003
-56,6,4.926004
-73,23,4.946009
22,28,4.970014
-60,10,4.979016
-88,38,5.012024
-72,22,5.031028
-58,8,5.03903
-68,18,5.055033
-56,6,5.062035
-64,14,5.075038
-53,3,5.078039
-52,2,5.081039
-58,8,5.089041
-79,29,5.114047
-74,24,5.135051
-63,13,5.147053
-55,5,5.153055
-96,46,5.192064
-52,2,5.195065
-52,2,5.198065
-70,20,5.215069
-64,14,5.228072
-88,38,5.260079
-52,2,5.263081
-71,21,5.282085
-58,8,5.290086
-90,40,5.324094
-63,13,5.335097
-55,5,5.341097
-55,5,5.346098
-57,7,5.353101
-59,9,5.362102
-124,74,5.423116
-99,49,5.464126
-57,7,5.471127
-74,24,5.493132
18,32,5.520138
-62,12,5.531141
-87,37,5.563148
-69,19,5.579151
-52,2,5.582152
-59,9,5.591154
-60,10,5.600156
-65,15,5.614159
-64,14,5.627162
-104,54,5.672173
-62,12,5.683175
-75,25,5.70418
-64,14,5.717182
-82,32,5.744189
-103,53,5.788199
-55,5,5.793199
-66,16,5.808203
-53,3,5.811203
-66,16,5.825206
-52,2,5.828207
-68,18,5.844211
-61,11,5.854213
-60,10,5.863215
-72,22,5.882221
-60,10,5.892222
-71,21,5.910226
-53,3,5.914227
-70,20,5.93123
-63,13,5.943233
-70,20,5.960237
-57,7,5.967239
-55,5,5.97324
-57,7,5.979241
-56,6,5.986243
-94,44,6.022252
-52,2,6.025251
-62,12,6.036254
-61,11,6.046257
-60,10,6.055258
-58,8,6.06326
32,18,6.079263
-52,2,6.082265
-70,20,6.099268
-67,17,6.114272
-55,5,6.119273
-84,34,6.14828
-55,5,6.153281
-52,2,6.156281
-61,11,6.166284
-59,9,6.175285
-58,8,6.182288
-58,8,6.190289
-60,10,6.200291
-58,8,6.207293
-55,5,6.213294
-72,22,6.232298
-80,30,6.258304
-59,9,6.266306
-74,24,6.287311
-71,21,6.306316
-82,32,6.334321
-73,23,6.354326
-58,8,6.362327
-73,23,6.382333
-62,12,6.394335
-52,2,6.397336
-64,14,6.409339
-71,21,6.428343
-56,6,6.434344
-63,13,6.446347
-76,26,6.469353
-71,21,6.488356
-64,14,6.500359
-98,48,6.541369
-66,16,6.556372
-74,24,6.577376
-71,21,6.59538
-67,17,6.610383
-57,7,6.617389
-75,25,6.639394
-52,2,6.642395
-58,8,6.650398
-57,7,6.657398
-64,14,6.670401
-54,4,6.674402
-62,12,6.685404
-54,4,6.690405
-57,7,6.697407
-62,12,6.708409
-74,24,6.729414
-99,49,6.770423
-54,4,6.775424
-56,6,6.781426
-105,55,6.827436
-62,12,6.838439
-57,7,6.845441
-52,2,6.849441
-67,17,6.866445
-85,35,6.896452
-64,14,6.908455
-52,2,6.912456
-64,14,6.924458
-59,9,6.93346
-92,42,6.968468
-73,23,6.988473
-64,14,7.001475
-65,15,7.015478
-53,3,7.01948
-53,3,7.023481
-57,7,7.030482
-80,30,7.056488
-55,5,7.062489
-62,12,7.073491
-53,3,7.077492
-82,32,7.1065
-62,12,7.117501
-58,8,7.125503
-63,13,7.137506
-61,11,7.148509
-67,17,7.163512
-60,10,7.173514
-66,16,7.187517
16,34,7.217524
-55,5,7.223525
-73,23,7.24353
-64,14,7.256532
-55,5,7.261533
-54,4,7.266535
-65,15,7.280538
-81,31,7.307544
-61,11,7.317546
-96,46,7.357555
-65,15,7.371558
-68,18,7.387562
-79,29,7.412568
-95,45,7.451576
-55,5,7.457578
22,28,7.482583
-55,5,7.487585
-86,36,7.518591
-59,9,7.527594
-60,10,7.537596
-60,10,7.546598
-58,8,7.5546
-62,12,7.566602
-69,19,7.583606
-57,7,7.590608
-94,44,7.627616
-83,33,7.656622
-63,13,7.668625
-63,13,7.679627
-87,37,7.711635
-72,22,7.73164
-76,26,7.754645
-59,9,7.763647
-57,7,7.770648
-66,16,7.784651
-73,23,7.805656
-86,36,7.838664
-70,20,7.858669
-63,13,7.870672
-75,25,7.894676
-58,8,7.903679
-72,22,7.923684
40,10,7.933686
-65,15,7.947689
-66,16,7.962692
-53,3,7.966693
-52,2,7.969694
-56,6,7.97659
-60,10,7.985592
-55,5,7.991594
-71,21,8.010599
-61,11,8.0206
-72,22,8.040605
-94,44,8.078613
-77,27,8.102619
-62,12,8.113621
-63,13,8.125624
-76,26,8.14863
-79,29,8.173635
-58,8,8.181637
-71,21,8.199641
-71,21,8.218645
-54,4,8.222646
-70,20,8.24065
-72,22,8.259654
-76,26,8.281659
-52,2,8.28466
-53,3,8.288661
-56,6,8.294662
-54,4,8.299663
-70,20,8.316667
-59,9,8.32567
-56,6,8.331671
