#{"t_start": 1657046052.740541, "env_id": "env.spec.id"}
r,l,t
-124.414062,19,0.084921
-68.75,4,0.087923
-153.125,19,0.098924
-75.0,6,0.102925
-82.617188,24,0.115928
-116.601562,24,0.129931
-119.335938,23,0.142934
-81.25,5,0.145935
-201.5625,51,0.173941
-62.5,2,0.174942
-62.5,2,0.176942
-145.3125,42,0.199947
-65.625,3,0.201947
-185.15625,24,0.215951
-62.5,2,0.216964
-102.34375,11,0.223955
-62.5,2,0.224956
-130.859375,40,0.24703
-108.59375,19,0.257972
-269.726562,49,0.28498
-68.75,4,0.287983
-62.5,2,0.288983
-92.1875,10,0.294986
-85.15625,10,0.301333
-85.15625,7,0.305335
-90.625,5,0.308665
-147.070312,21,0.32066
-298.632812,68,0.357659
-87.5,10,0.363655
-75.0,9,0.368654
-72.65625,6,0.371655
-104.6875,11,0.378654
-102.34375,11,0.385657
-140.234375,22,0.397666
-99.414062,20,0.40866
-62.5,2,0.409661
-359.179688,57,0.441659
-239.453125,41,0.463666
-115.625,13,0.471667
-279.101562,58,0.502658
-120.117188,24,0.516656
-175.0,23,0.52966
-250.78125,30,0.545658
-102.539062,18,0.555661
-221.875,47,0.581659
-163.476562,24,0.594664
-142.96875,27,0.609655
-91.40625,9,0.614656
-127.539062,23,0.627661
-69.53125,5,0.630655
-98.828125,14,0.638603
-80.46875,10,0.644605
-78.757812,42,0.66866
-185.351562,31,0.685657
-69.53125,5,0.688653
-120.507812,14,0.696655
-200.78125,29,0.712656
-116.40625,11,0.719655
-137.5,11,0.725657
-87.5,7,0.729662
-154.492188,26,0.74466
-89.0625,9,0.749661
-212.304688,46,0.774657
-226.171875,48,0.800663
-108.007812,19,0.811667
-76.5625,8,0.816668
-86.914062,10,0.821658
-75.046875,56,0.852659
-200.976562,27,0.86766
-90.820312,18,0.877665
-140.039062,15,0.885657
-65.625,3,0.887619
-168.554688,38,0.908659
-136.914062,17,0.917668
-62.5,2,0.91966
-132.421875,30,0.935656
-134.375,10,0.941653
-74.414062,15,0.949666
-81.25,5,0.952666
-78.125,4,0.955667
-116.40625,23,0.968657
-62.5,2,0.969658
-132.8125,11,0.976659
-172.65625,38,0.997353
-68.75,4,1.000354
-156.25,14,1.008356
-179.882812,33,1.027362
-81.25,8,1.031363
-103.125,6,1.035363
-65.625,3,1.037364
-156.25,14,1.045365
-149.414062,27,1.060369
-113.867188,19,1.071372
-100.0,11,1.077373
-70.898438,9,1.082374
-97.703125,49,1.10938
-66.40625,4,1.112381
-78.710938,13,1.119382
-69.382812,33,1.138387
-128.125,11,1.144388
-174.414062,20,1.155391
18.117188,26,1.170394
-93.359375,13,1.177395
-153.125,13,1.185397
-192.96875,34,1.204402
-110.15625,9,1.210403
-144.921875,28,1.225406
