#{"t_start": 1657049125.0685785, "env_id": "env.spec.id"}
r,l,t
-65,15,0.102448
-98,48,0.120452
-67,17,0.127454
-63,13,0.132455
-86,36,0.146458
-56,6,0.148458
-55,5,0.151458
-67,17,0.158461
-59,9,0.161461
-65,15,0.167462
-58,8,0.171464
-59,9,0.175464
-71,21,0.183466
-61,11,0.187467
-72,22,0.196469
-52,2,0.197469
-61,11,0.20247
-67,17,0.208472
-61,11,0.213473
-71,21,0.221475
-80,30,0.232477
-69,19,0.240479
-56,6,0.242479
-65,15,0.248481
-68,18,0.255482
-55,5,0.258484
-79,29,0.269485
-58,8,0.272485
-74,24,0.281488
-128,78,0.310495
16,34,0.323497
-67,17,0.329499
-55,5,0.332499
-74,24,0.341501
-59,9,0.344502
-67,17,0.351504
-90,40,0.366507
-73,23,0.375509
-55,5,0.377509
-79,29,0.388512
-121,71,0.415518
-86,36,0.428521
-52,2,0.429521
-57,7,0.433522
-67,17,0.439523
-99,49,0.457527
-63,13,0.462528
-58,8,0.46653
-64,14,0.471531
-55,5,0.474531
-53,3,0.475532
-58,8,0.479533
-72,22,0.487534
-73,23,0.496536
-63,13,0.501537
-55,5,0.504537
-62,12,0.509539
-54,4,0.511539
-67,17,0.518541
-54,4,0.520541
-66,16,0.531544
-60,10,0.535544
-76,26,0.545547
-103,53,0.564551
-85,35,0.578555
-79,29,0.588557
-61,11,0.593558
-54,4,0.595558
-52,2,0.59656
-57,7,0.599559
-64,14,0.605561
-66,16,0.612565
-104,54,0.63257
-62,12,0.637571
-63,13,0.642572
-91,41,0.657576
-64,14,0.663577
-107,57,0.684581
-86,36,0.698585
-102,52,0.717589
-69,19,0.725591
-52,2,0.726591
-101,51,0.745595
-69,19,0.752597
-9,59,0.774601
-53,3,0.776603
-81,31,0.787604
-61,11,0.792605
-67,17,0.799607
-66,16,0.805609
-69,19,0.81261
-85,35,0.826614
-71,21,0.834615
-56,6,0.836616
-60,10,0.840616
-87,37,0.85462
-68,18,0.861621
-69,19,0.869623
-68,18,0.876625
-67,17,0.882626
-62,12,0.888627
-73,23,0.897629
-121,71,0.923635
-81,31,0.935637
-78,28,0.94664
-67,17,0.952641
-63,13,0.958642
-52,2,0.959643
-67,17,0.966645
-66,16,0.973646
-53,3,0.974646
-54,4,0.976648
-64,14,0.982648
-54,4,0.984649
-63,13,0.98965
-74,24,0.998652
-63,13,1.004653
-57,7,1.007654
-63,13,1.012655
-62,12,1.017656
-53,3,1.019656
-52,2,1.020656
-55,5,1.022657
-94,44,1.039661
-59,9,1.043662
-104,54,1.063666
-81,31,1.074669
-69,19,1.082671
-82,32,1.094673
-79,29,1.105676
-75,25,1.115678
-83,33,1.12868
-60,10,1.132681
-64,14,1.138683
-68,18,1.145685
-55,5,1.147685
-76,26,1.157687
-67,17,1.164688
-55,5,1.16669
-56,6,1.16969
-70,20,1.177692
-60,10,1.181693
-58,8,1.184693
26,24,1.193696
-78,28,1.204698
-60,10,1.208699
-63,13,1.2147
-53,3,1.215701
-71,21,1.224702
-54,4,1.226703
-67,17,1.232704
-52,2,1.234705
-64,14,1.239706
-61,11,1.244707
-83,33,1.25671
-78,28,1.267712
-67,17,1.273713
-62,12,1.278714
-70,20,1.286716
-66,16,1.292717
-60,10,1.296718
-79,29,1.30772
-80,30,1.318724
-64,14,1.324725
-59,9,1.328726
-59,9,1.331726
-75,25,1.341729
-53,3,1.342729
-72,22,1.351731
-83,33,1.364733
-61,11,1.369735
-57,7,1.372736
-53,3,1.374735
-65,15,1.380738
-14,64,1.404742
-52,2,1.405742
-62,12,1.410744
-52,2,1.411744
-55,5,1.413744
-72,22,1.422747
-87,37,1.43675
-60,10,1.441751
-52,2,1.442751
-73,23,1.451753
-54,4,1.453753
-54,4,1.455754
-72,22,1.463756
-55,5,1.466757
-65,15,1.472758
-77,27,1.48276
-60,10,1.486761
-56,6,1.489762
-71,21,1.497763
-68,18,1.504765
-60,10,1.508766
-99,49,1.527771
-106,56,1.548775
-92,42,1.564778
-52,2,1.565778
-66,16,1.57178
-54,4,1.57378
-64,14,1.579782
-53,3,1.580782
-107,57,1.602787
29,21,1.610789
-62,12,1.61579
-70,20,1.622791
-66,16,1.629793
2,48,1.647797
-79,29,1.6588
-64,14,1.663801
-65,15,1.669801
-68,18,1.677804
-93,43,1.693808
-74,24,1.702809
-52,2,1.703809
-64,14,1.70981
-82,32,1.721814
-61,11,1.725814
-62,12,1.730815
-60,10,1.734816
-67,17,1.741818
-80,30,1.75282
35,15,1.758822
-87,37,1.772824
-53,3,1.774826
-54,4,1.776826
-60,10,1.780827
-64,14,1.786828
-55,5,1.788829
-77,27,1.798831
-69,19,1.806833
-53,3,1.807833
-74,24,1.816835
-55,5,1.819835
-52,2,1.820836
-68,18,1.827837
-80,30,1.83984
-99,49,1.857844
-67,17,1.863845
-69,19,1.871847
-59,9,1.875848
-52,2,1.876848
-53,3,1.877848
-91,41,1.893852
-73,23,1.901854
-64,14,1.907856
-127,77,1.935861
-68,18,1.942863
-89,39,1.957867
-63,13,1.963011
-84,34,1.976009
-61,11,1.98001
-103,53,2.000015
-86,36,2.014018
-79,29,2.025021
-55,5,2.027022
-53,3,2.029022
-90,40,2.043024
-83,33,2.056027
-111,61,2.078032
-55,5,2.081032
-72,22,2.089035
-65,15,2.095036
-52,2,2.096036
-60,10,2.100037
-67,17,2.107039
-58,8,2.11004
-67,17,2.117041
-66,16,2.123042
-72,22,2.132044
-91,41,2.147048
-52,2,2.148047
-69,19,2.155049
-55,5,2.15805
-69,19,2.165051
-65,15,2.171053
-70,20,2.179055
-63,13,2.184056
-83,33,2.196059
36,14,2.20206
-62,12,2.207061
-83,33,2.219064
-96,46,2.236068
-69,19,2.243069
-58,8,2.24707
-73,23,2.255071
-66,16,2.261073
-57,7,2.265074
-54,4,2.267075
-66,16,2.273075
-69,19,2.280709
-57,7,2.283214
-76,26,2.293215
-75,25,2.302217
-78,28,2.313221
-71,21,2.321222
-72,22,2.330224
-56,6,2.332225
-58,8,2.336225
-81,31,2.347228
-55,5,2.350229
-62,12,2.354229
-66,16,2.361232
-65,15,2.367232
-92,42,2.382236
-54,4,2.384236
-96,46,2.40124
-69,19,2.408242
-78,28,2.419244
-65,15,2.425246
-65,15,2.431247
-52,2,2.432247
-83,33,2.44425
-74,24,2.453251
-62,12,2.458253
-65,15,2.464254
-64,14,2.469255
-9,59,2.49126
-73,23,2.500262
-55,5,2.502262
-104,54,2.522267
-72,22,2.530269
-53,3,2.53227
-67,17,2.539271
-75,25,2.548273
19,31,2.560276
-53,3,2.561275
-90,40,2.576279
-69,19,2.58428
-59,9,2.587282
-68,18,2.594283
-53,3,2.596283
-55,5,2.598284
-112,62,2.621289
-58,8,2.62429
-63,13,2.629291
-62,12,2.634422
-67,17,2.641424
-98,48,2.658428
-78,28,2.66943
-59,9,2.672431
-68,18,2.679432
-98,48,2.697437
-62,12,2.702437
-62,12,2.707439
-68,18,2.714439
-103,53,2.733444
-87,37,2.747448
-72,22,2.755449
-58,8,2.75945
-56,6,2.76145
-52,2,2.763451
-54,4,2.765451
-52,2,2.766451
-85,35,2.779454
-68,18,2.786455
-71,21,2.794458
-57,7,2.797459
-54,4,2.799459
-72,22,2.807461
-61,11,2.812462
-109,59,2.833467
-89,39,2.848469
-56,6,2.85047
-55,5,2.853471
-72,22,2.861472
-54,4,2.863473
-79,29,2.874476
-56,6,2.877477
-76,26,2.886478
-66,16,2.89348
-94,44,2.909484
-71,21,2.917485
-54,4,2.919486
-58,8,2.923487
-69,19,2.930488
-65,15,2.936489
-71,21,2.944492
-64,14,2.949493
-77,27,2.960495
-53,3,2.962495
-61,11,2.966496
-56,6,2.969497
-91,41,2.9845
-55,5,2.986501
-52,2,2.988501
-60,10,2.992502
-68,18,2.999505
-65,15,3.005505
-52,2,3.006506
-92,42,3.022508
-72,22,3.03151
-53,3,3.032511
-66,16,3.039513
-59,9,3.042513
-58,8,3.046514
-105,55,3.066518
-61,11,3.07052
-71,21,3.078521
-56,6,3.081522
-67,17,3.088523
-64,14,3.093524
-70,20,3.101526
-56,6,3.103527
-52,2,3.105527
-65,15,3.110529
-64,14,3.11653
-63,13,3.121531
-55,5,3.124532
-70,20,3.131534
-56,6,3.134534
-65,15,3.140535
-67,17,3.146536
-53,3,3.148537
-96,46,3.165541
-57,7,3.168541
-71,21,3.176543
-65,15,3.182544
-71,21,3.190546
-60,10,3.194548
-122,72,3.221554
-77,27,3.231555
-61,11,3.235557
-112,62,3.258562
-66,16,3.265563
-67,17,3.271564
-103,53,3.29157
-59,9,3.294569
-66,16,3.301571
-86,36,3.314574
7,43,3.330688
-55,5,3.332707
21,29,3.343709
-68,18,3.350712
-58,8,3.353712
-56,6,3.356713
-52,2,3.357713
-125,75,3.384718
-68,18,3.391721
-78,28,3.402723
-71,21,3.410725
-57,7,3.413725
-88,38,3.427728
-52,2,3.428728
-83,33,3.440731
-58,8,3.444732
-70,20,3.451733
-79,29,3.462735
-68,18,3.469738
-61,11,3.474739
-65,15,3.48074
-53,3,3.48174
-104,54,3.501744
-64,14,3.507747
-58,8,3.510747
-56,6,3.513747
-55,5,3.515748
-57,7,3.518748
-60,10,3.522749
-67,17,3.529751
-81,31,3.540753
-59,9,3.544754
-70,20,3.552756
-110,60,3.574761
-52,2,3.575762
