#{"t_start": 1654690873.0544612, "env_id": "env.spec.id"}
r,l,t
-56,6,0.015002
-53,3,0.021004
-80,30,0.072015
-83,33,0.133029
-72,22,0.170037
-63,13,0.192042
-54,4,0.199044
-64,14,0.22205
-57,7,0.234052
-66,16,0.261059
-91,41,0.326073
-90,40,0.389209
-52,2,0.393209
-60,10,0.409213
-52,2,0.413214
-56,6,0.423216
-52,2,0.427217
-54,4,0.435221
-76,26,0.47623
-53,3,0.482232
-80,30,0.531242
-66,16,0.556248
-79,29,0.602259
-55,5,0.61126
-58,8,0.624264
24,26,0.666273
-125,75,0.786302
-52,2,0.789303
-67,17,0.818309
-77,27,0.861319
-55,5,0.86932
-99,49,0.947338
-57,7,0.959341
-72,22,0.994349
-61,11,1.012353
-67,17,1.039359
-52,2,1.04336
-112,62,1.141382
-71,21,1.175389
-56,6,1.186392
-54,4,1.192393
-56,6,1.203396
-78,28,1.247405
-70,20,1.281413
-81,31,1.331424
-53,3,1.336425
-66,16,1.362435
-101,51,1.444453
-60,10,1.460457
-58,8,1.47446
-54,4,1.481462
-96,46,1.556479
-52,2,1.559479
-52,2,1.56348
-94,44,1.634496
-102,52,1.717515
-82,32,1.767526
-63,13,1.789531
-67,17,1.815537
-52,2,1.819538
-57,7,1.83054
-61,11,1.848544
-59,9,1.862548
-67,17,1.890553
-71,21,1.924562
-73,23,1.96157
-75,25,2.001579
-102,52,2.084598
-52,2,2.088598
-65,15,2.112604
-62,12,2.132608
-80,30,2.180619
-68,18,2.208625
-53,3,2.214627
-72,22,2.250635
-58,8,2.262638
-108,58,2.356659
-55,5,2.364661
-94,44,2.434676
-53,3,2.439677
-59,9,2.454681
-68,18,2.484688
-52,2,2.487688
-57,7,2.499691
-53,3,2.504692
-73,23,2.542841
-69,19,2.572848
-61,11,2.590852
-56,6,2.600854
-83,33,2.654867
-89,39,2.716882
-55,5,2.724884
-64,14,2.747891
-60,10,2.764895
-60,10,2.781898
-52,2,2.7849
-52,2,2.7889
-63,13,2.810905
-58,8,2.822908
-54,4,2.83091
-55,5,2.838912
-60,10,2.854915
-54,4,2.861917
-53,3,2.866918
-66,16,2.893924
-122,72,3.00895
-63,13,3.029955
-74,24,3.069963
-77,27,3.112974
-55,5,3.120975
-77,27,3.163985
-72,22,3.198992
-57,7,3.210995
-66,16,3.235001
-61,11,3.253005
-77,27,3.296014
-58,8,3.309017
-55,5,3.317019
-74,24,4.104449
-75,25,4.144457
-93,43,4.215475
-57,7,4.226478
-91,41,4.293493
-100,100,4.453529
-65,15,4.479535
-52,2,4.482535
-52,2,4.486537
-94,44,4.556552
-75,25,4.597561
-74,24,4.63557
-81,31,4.685581
33,17,4.712727
-93,43,4.782743
-80,30,4.830754
-84,34,4.884766
-87,37,4.943781
-13,63,5.044804
-57,7,5.055807
-69,19,5.086813
23,27,5.130823
-98,48,5.206841
-141,91,5.352873
-61,11,5.369877
-53,3,5.374878
-56,6,5.385881
-61,11,5.403885
-133,83,5.535915
-65,15,5.56092
3,47,5.635937
-53,3,5.640938
-64,14,5.663944
-78,28,5.708954
-97,47,5.784971
-88,38,5.845984
-95,45,5.917
-57,7,5.929003
-71,21,5.963011
-61,11,5.981015
-83,33,6.035027
-57,7,6.04603
-75,25,6.087039
-77,27,6.131048
-60,10,6.147052
-141,91,6.292085
-68,18,6.320091
-113,63,6.422114
-52,2,6.425115
-145,95,6.578151
-136,86,6.714182
-54,4,6.721183
-103,53,6.806203
-54,4,6.812204
-54,4,6.820205
-114,64,6.922231
-100,50,7.00225
-87,37,7.062264
-84,34,7.116276
-58,8,7.129279
-105,55,7.216299
-59,9,7.231302
-79,29,7.278313
-52,2,7.282314
-149,99,8.187647
-56,6,8.19865
-99,49,8.277667
-57,7,8.28867
-100,100,8.450709
-63,13,8.472714
-100,100,8.63375
-81,31,8.683761
-70,20,8.715769
-90,40,8.781783
-75,25,8.822793
-129,79,8.950822
-4,54,9.037841
-104,54,9.124861
-101,51,9.206879
-120,70,9.318905
-81,31,9.369916
-81,31,9.418927
-100,100,9.582096
-119,69,9.694121
-54,4,9.700123
-100,100,9.861159
-107,57,9.95318
-110,60,10.051202
-61,11,10.069206
-100,100,10.232243
-98,48,10.310263
