#{"t_start": 1655810589.488456, "env_id": "env.spec.id"}
r,l,t
-54,4,0.015002
-58,8,0.034007
-87,37,0.122532
-83,33,0.208552
-69,19,0.248561
-53,3,0.255562
-64,14,0.284569
-104,54,0.400599
-53,3,0.408602
-59,9,0.428607
-57,7,0.445616
-62,12,0.473624
-63,13,0.503635
-87,37,0.590184
-65,15,0.626194
-56,6,0.641196
-85,35,0.723217
-66,16,0.757226
-63,13,0.784356
-60,10,0.805361
-113,63,0.93639
-78,28,0.994403
-53,3,1.001404
-70,20,1.044414
-57,7,1.059417
-76,26,1.114429
-65,15,1.147437
-60,10,1.168442
-56,6,1.180444
-82,32,1.247459
-54,4,1.256461
-60,10,1.277466
-89,39,1.356484
-72,22,1.402493
-61,11,1.425499
-53,3,1.4325
-64,14,1.462507
-52,2,1.467508
-52,2,1.471509
-61,11,1.495514
-65,15,1.527329
-55,5,1.538332
-74,24,1.588343
-66,16,1.622351
-67,17,1.657359
-53,3,1.66436
-70,20,1.705496
-57,7,1.7205
-69,19,1.762509
-56,6,1.776512
-61,11,1.800517
-52,2,1.804518
-61,11,1.829524
-65,15,1.861531
-54,4,1.870533
-65,15,1.90254
-54,4,1.911542
-55,5,1.922545
-86,36,1.996562
-61,11,2.018566
-72,22,2.065577
-68,18,2.103585
-53,3,2.109586
-59,9,2.129591
-69,19,2.1686
-94,44,2.25862
-56,6,2.271623
-70,20,2.312632
-66,16,2.34764
-83,33,2.415655
-53,3,2.422657
-60,10,2.443661
-64,14,2.473668
-85,35,2.545684
-77,27,2.601696
-70,20,2.643706
-59,9,2.66271
-81,31,2.726724
-97,47,2.823746
-74,24,2.872757
-75,25,2.929773
-85,35,3.01253
-59,9,3.031534
-67,17,3.066542
-55,5,3.078544
-113,63,3.209537
-57,7,3.225541
-66,16,3.259548
-62,12,3.285554
-55,5,3.297557
-73,23,3.346568
-81,31,3.411582
-80,30,3.473596
-65,15,3.504039
-69,19,3.543048
-57,7,3.559052
-54,4,3.568054
-87,37,3.645071
-55,5,3.657074
-62,12,3.68408
-76,26,3.739092
-8,58,3.860119
-89,39,3.942137
-98,48,4.041159
-95,45,4.13418
-53,3,4.142182
-111,61,4.267212
11,39,4.34823
-58,8,4.365234
-56,6,4.378237
-69,19,5.158533
-65,15,5.19054
-56,6,5.203543
-67,17,5.238551
-100,100,5.440596
-83,33,5.508611
-93,43,5.596759
-64,14,5.625765
-70,20,5.667774
-59,9,5.686778
-60,10,5.706783
-56,6,5.719786
-62,12,5.744791
-75,25,5.795803
-106,56,5.909828
-70,20,5.950837
-78,28,6.00785
-64,14,6.037857
-60,10,6.058861
-74,24,6.107872
-64,14,6.135879
-62,12,6.160884
-83,33,6.228899
-75,25,6.278911
-53,3,6.285912
-81,31,6.349926
-63,13,6.375932
-59,9,6.394937
-97,47,6.490958
-62,12,6.515963
-119,69,6.654994
-78,28,6.711007
-68,18,6.748015
-78,28,6.806028
-82,32,6.872043
-54,4,6.881045
-52,2,6.886046
-92,42,6.970065
-71,21,7.014074
-80,30,7.076088
-58,8,7.092092
-65,15,7.123099
-67,17,7.166113
-80,30,7.232025
-100,50,7.335048
-7,57,7.462249
-62,12,7.490262
