#{"t_start": 1656704869.0851452, "env_id": "env.spec.id"}
r,l,t
-62,12,0.040009
-76,26,0.111025
-61,11,0.144032
-72,22,0.202046
-56,6,0.22005
-60,10,0.247056
-67,17,0.293067
-54,4,0.305069
-65,15,0.344078
-85,35,0.437099
-62,12,0.470107
-56,6,0.48511
-69,19,0.535122
-61,11,0.563128
-65,15,0.604058
-56,6,0.619755
-52,2,0.624756
-72,22,0.683769
-59,9,0.706774
-60,10,0.735781
-66,16,0.77879
-64,14,0.814798
-53,3,0.8228
-58,8,0.842805
-58,8,0.865626
-60,10,0.89377
-66,16,0.936565
-69,19,0.986576
-57,7,1.006581
-60,10,1.032586
-56,6,1.04859
-65,15,1.088599
-63,13,1.128608
-58,8,1.148613
-59,9,1.176619
-75,25,1.243704
-85,35,1.335194
-70,20,1.389205
-64,14,1.425214
-59,9,1.45222
-72,22,1.511233
-56,6,1.529237
-71,21,1.584581
-56,6,1.600585
-70,20,1.653411
-52,2,1.659412
-56,6,1.675416
-52,2,1.679416
-72,22,1.74043
-76,26,1.807446
-52,2,1.814447
-54,4,1.823449
-85,35,1.918471
-102,52,2.057358
-78,28,2.132375
-59,9,2.15638
-79,29,2.232038
-54,4,2.245756
-76,26,2.315029
-70,20,2.369041
-110,60,2.528079
-66,16,2.570088
-74,24,2.631843
-84,34,2.724864
-52,2,2.729866
-64,14,2.766874
-53,3,2.773875
-64,14,2.813884
-87,37,2.912242
-64,14,2.948774
-72,22,3.008788
-66,16,3.054798
-53,3,3.067801
-55,5,3.081804
-75,25,3.146819
-70,20,3.19883
-69,19,3.249525
-99,49,3.378554
-57,7,3.398673
-64,14,3.436681
-66,16,3.479691
-71,21,3.533703
-75,25,3.598587
-62,12,3.632347
-69,19,3.68664
-53,3,3.695642
-73,23,3.757656
-52,2,3.762657
-56,6,3.777661
-64,14,3.816669
-59,9,3.839674
-58,8,3.862679
-69,19,3.912691
-52,2,3.918692
-61,11,3.948683
-57,7,3.968687
-129,79,4.177079
-75,25,4.244094
-62,12,4.277102
-69,19,4.326909
-52,2,4.334911
-52,2,4.340912
-69,19,4.392046
-72,22,4.45006
-57,7,4.470064
-73,23,4.529077
-83,33,4.615097
-61,11,4.647104
-67,17,4.693678
-57,7,4.715682
-53,3,4.726685
-56,6,4.74669
-74,24,4.810843
-63,13,4.847851
-56,6,4.863855
-62,12,4.894862
-71,21,4.949874
-69,19,4.999563
-76,26,5.07058
-52,2,5.076581
-60,10,5.102587
-62,12,5.135594
-72,22,5.192607
-87,37,5.289629
-76,26,5.359645
-59,9,5.38265
-52,2,5.389652
-54,4,5.398654
-59,9,5.424492
-116,66,6.626689
-94,44,6.744716
-74,24,6.80873
-65,15,6.846739
-92,42,6.961765
-74,24,7.025779
-69,19,7.075791
-68,18,7.123802
-61,11,7.153809
-63,13,7.191817
-54,4,7.201822
-72,22,7.261785
-92,42,7.37605
24,26,7.448067
-53,3,7.458069
-68,18,7.505716
-81,31,7.585734
-65,15,7.624743
-69,19,7.675755
-76,26,7.74377
-75,25,7.809785
-64,14,7.847794
-84,34,7.939632
-106,56,8.089666
-77,27,8.165683
-147,97,8.422005
26,24,8.48602
-54,4,8.497022
-66,16,8.538032
-99,49,8.670061
-72,22,8.728074
-86,36,8.824096
-91,41,8.933121
-62,12,8.965128
-57,7,8.983132
-73,23,9.046864
-59,9,9.07287
-54,4,9.081872
-84,34,9.173893
-67,17,9.219903
-77,27,9.290919
-54,4,9.301922
-63,13,9.33693
-57,7,9.355934
-52,2,9.36112
-83,33,9.452287
-106,56,9.602452
-77,27,9.675469
-55,5,9.689472
-67,17,9.731482
-59,9,9.758312
-58,8,9.779059
-52,2,9.787061
-78,28,9.859077
-103,53,9.998109
-74,24,10.062774
-54,4,10.076108
-59,9,10.099114
-55,5,10.113117
-64,14,10.152125
-76,26,10.222289
-97,47,10.349318
-126,76,10.553187
-60,10,10.577193
35,15,10.619202
-120,70,10.809544
-72,22,10.869507
-74,24,10.932521
-56,6,10.949524
-71,21,11.007538
-60,10,11.033544
-99,49,11.16445
-75,25,11.234466
-74,24,11.300482
-80,30,11.380499
-79,29,11.460518
-99,49,11.591547
-81,31,11.673566
-58,8,11.696572
-72,22,11.756585
-108,58,11.929851
-82,32,12.042877
-65,15,12.09889
-55,5,13.136037
-108,58,13.289073
-111,61,13.455975
-106,56,13.603076
-100,100,13.866694
-56,6,13.883698
-100,50,14.018728
-86,36,14.11375
-27,77,14.31496
-119,69,14.498001
-83,33,14.590971
-124,74,14.786139
-106,56,14.932172
-59,9,14.958178
-100,100,15.224113
-76,26,15.295737
36,14,15.332745
-94,44,15.453773
-53,3,15.461774
-145,95,20.802648
-59,9,20.826653
-87,37,20.923675
-74,24,20.986689
-68,18,21.035434
-88,38,21.14007
-76,26,21.208085
-77,27,21.281102
-62,12,21.313109
-116,66,21.487148
-67,17,21.531158
-100,100,21.795218
-82,32,21.879237
-78,28,21.955254
-90,40,22.062279
-24,74,22.257937
-79,29,22.337956
-81,31,22.420974
-100,100,22.687855
-125,75,22.890448
-105,55,23.038482
-83,33,23.126502
-135,85,23.354554
-65,15,23.392562
-67,17,23.438572
-107,57,23.590721
-100,100,24.83811
-54,4,24.848113
-53,3,24.856114
-14,64,25.028153
-74,24,25.091168
-52,2,25.097169
-17,67,25.275249
-59,9,25.298254
-68,18,25.347265
-62,12,25.379726
-62,12,25.413665
-74,24,25.478377
-81,31,25.558395
-55,5,25.573398
-114,64,25.74573
-83,33,25.836751
-92,42,25.948776
-59,9,25.971786
-146,96,26.223838
-100,100,26.484898
4,46,26.605448
-100,100,26.868319
-86,36,26.963219
-74,24,27.027234
-52,2,27.034236
-84,34,27.128257
-64,14,27.164265
-54,4,27.176268
-54,4,27.18627
-80,30,27.267276
-73,23,27.32829
-122,72,27.519333
-65,15,27.561134
-61,11,27.592166
-62,12,27.625204
-52,2,27.630205
-2,52,27.769236
-112,62,27.935128
-53,3,27.944782
-80,30,28.0248
-80,30,28.106818
-55,5,28.121822
-127,77,28.324579
-100,100,28.587492
-74,24,28.653811
-53,3,28.661813
-61,11,28.69182
-122,72,28.882308
-90,40,28.990906
-100,100,29.256145
-83,33,29.340876
-87,37,29.438899
-78,28,29.513915
-90,40,29.61899
-90,40,29.724932
-78,28,29.799948
-95,45,29.918976
-142,92,31.159471
-60,10,31.186477
-79,29,31.262494
-75,25,31.329509
-140,90,31.566722
-76,26,31.635737
-102,52,31.776749
-85,35,31.868769
23,27,31.941122
-67,17,31.987132
-146,96,32.24523
-56,6,32.261233
-100,100,32.528932
-68,18,32.575942
-126,76,32.779887
-97,47,32.903077
-62,12,32.935084
-100,100,33.205145
-37,87,33.433328
-59,9,33.460333
-70,20,33.513345
-91,41,33.62137
-66,16,33.663379
-64,14,33.699387
-26,76,33.901574
-100,50,34.032383
-53,3,34.043386
-63,13,34.078557
-149,99,34.340616
-103,53,34.478814
-65,15,34.519823
-44,94,34.766
-137,87,34.993012
-135,85,35.214836
-129,79,35.422884
-66,16,35.465893
-73,23,35.52853
-67,17,35.57454
-100,100,35.836423
-96,46,42.052641
-76,26,42.123478
-56,6,42.139482
-63,13,42.173773
-77,27,42.242789
-101,51,42.379819
-39,89,42.616874
25,25,43.67841
-100,100,43.939587
-135,85,44.165519
-74,24,44.229293
7,43,44.341774
-100,100,44.60746
-62,12,44.639467
6,44,44.755493
-133,83,44.977166
-88,38,45.076903
-31,81,45.292952
10,40,45.397975
-104,54,45.542008
-3,53,45.68204
-65,15,45.724567
-53,3,45.731569
-58,8,45.755547
-73,23,45.814561
-78,28,45.889703
-70,20,45.940714
-114,64,46.112057
-131,81,46.32724
-55,5,46.343244
-115,65,46.514283
-73,23,46.576297
-93,43,46.688322
-94,44,46.807257
-100,100,47.071433
-88,38,47.173456
-100,100,47.431514
-81,31,47.514534
-100,100,47.782497
-62,12,47.813504
28,22,47.874156
-122,72,48.062199
-79,29,48.140413
-78,28,48.212936
-100,100,48.477701
-86,36,48.570722
-78,28,48.643739
-87,37,48.741761
18,32,48.828781
-87,37,48.927329
-127,77,50.111429
-56,6,50.126433
-147,97,50.382993
-121,71,50.572037
