#{"t_start": 1655759491.0222104, "env_id": "env.spec.id"}
r,l,t
-110,60,0.125029
-66,16,0.157041
-54,4,0.164043
-61,11,0.185047
-63,13,0.212053
-54,4,0.221055
-54,4,0.229056
-79,29,0.281068
-72,22,0.3232
-93,43,0.403218
-67,17,0.434225
-56,6,0.446228
-53,3,0.452229
-81,31,0.508241
-64,14,0.533247
-61,11,0.555252
-91,41,0.628268
-60,10,0.647272
-68,18,0.679279
-112,62,0.789304
-93,43,0.866324
-92,42,0.945342
-56,6,0.957345
-59,9,0.974349
-59,9,0.990352
-68,18,1.02336
-57,7,1.036363
-128,78,1.176528
-59,9,1.194532
-61,11,1.214536
-68,18,1.248544
-57,7,1.262547
-56,6,1.273549
-57,7,1.286552
-83,33,1.345565
-94,44,1.425583
-80,30,1.481596
-61,11,1.502601
-72,22,1.54261
-113,63,1.657764
-61,11,1.679769
-75,25,1.724779
-65,15,1.754786
-100,50,1.846806
-61,11,1.866811
-60,10,1.885815
-59,9,1.902819
-59,9,1.919822
-62,12,1.941828
-52,2,1.945828
-54,4,1.95383
-80,30,2.010843
-59,9,2.027847
-68,18,2.060854
-58,8,2.076858
-54,4,2.083859
-73,23,2.126385
-65,15,2.155392
-52,2,2.159392
-53,3,2.165394
-57,7,2.178397
-69,19,2.214405
-62,12,2.23741
-70,20,2.274419
-54,4,2.28242
-82,32,2.342433
-56,6,2.353436
-76,26,2.401447
-61,11,2.422452
-53,3,2.428453
-64,14,2.455459
-61,11,2.475464
-103,53,2.570485
-83,33,2.632499
-75,25,2.680509
-70,20,2.718518
10,40,2.795535
-60,10,2.814539
-68,18,2.848547
-75,25,2.894557
-59,9,2.913562
37,13,2.937567
-57,7,2.95157
-53,3,2.956571
-61,11,2.977576
-113,63,3.095602
-56,6,3.107605
-69,19,3.143613
-65,15,3.17262
9,41,3.249637
-61,11,3.270641
-72,22,3.311651
-55,5,3.321652
-53,3,3.327654
-63,13,3.35466
-76,26,3.403672
-73,23,3.447681
-63,13,3.473687
-54,4,3.481688
-54,4,3.49069
-98,48,3.579711
-67,17,3.613718
-68,18,3.648726
-74,24,3.692736
-59,9,3.71074
-68,18,3.744747
-57,7,3.75875
-56,6,3.769753
-62,12,3.793759
-54,4,3.80176
-71,21,3.842769
-73,23,4.643082
-90,40,4.717099
-97,47,4.804118
-59,9,4.821122
-89,39,4.892138
-108,58,4.997162
28,22,5.037306
-67,17,5.069313
-60,10,5.087316
-53,3,5.094319
-62,12,5.116323
-75,25,5.162334
-88,38,5.232349
-52,2,5.23635
-62,12,5.259355
-110,60,5.36938
-71,21,5.411389
-53,3,5.416391
-53,3,5.423392
-53,3,5.429393
-83,33,5.490407
-52,2,5.494408
-54,4,5.50441
-92,42,5.579949
-80,30,5.635962
-91,41,5.71198
-79,29,5.765505
-74,24,5.809515
-139,89,5.972551
-104,54,6.073212
-65,15,6.101218
-100,100,6.282387
-81,31,6.337399
-58,8,6.352403
-89,39,6.425419
-69,19,6.458426
-52,2,6.462427
-68,18,6.496435
-70,20,6.534443
-117,67,6.657471
-63,13,6.682476
-69,19,6.719485
-67,17,6.752494
-53,3,6.759496
-61,11,6.779501
-115,65,6.898527
-80,30,6.953539
-100,100,7.13558
-58,8,7.151583
-58,8,7.166587
-65,15,7.195593
-77,27,7.244604
-68,18,7.277612
-99,49,7.369632
-54,4,7.376634
-102,52,7.472655
-60,10,7.491659
-97,47,7.577679
-61,11,7.598684
-68,18,7.631691
-108,58,7.737715
-110,60,7.847741
-100,100,8.030782
