#{"t_start": 1655761484.6453474, "env_id": "env.spec.id"}
r,l,t
-78,28,0.073015
-71,21,0.126027
-112,62,0.274643
19,31,0.343658
-72,22,0.391669
-89,39,0.477688
-53,3,0.48469
-108,58,0.614719
-54,4,0.623722
-96,46,0.724745
-77,27,0.783758
-59,9,0.804947
35,15,0.839954
-53,3,0.848957
-84,34,0.922973
-67,17,0.962981
-90,40,1.052002
-62,12,1.081008
-81,31,1.151024
-84,34,1.228041
-74,24,1.282053
-64,14,1.315061
-54,4,1.324062
-82,32,1.398079
-74,24,1.453092
-54,4,1.465095
-59,9,1.485099
-53,3,1.4931
-60,10,1.516105
-55,5,1.527108
-132,82,1.71215
-63,13,1.743156
-62,12,1.772163
-67,17,1.811172
-68,18,1.852181
-53,3,1.859183
-62,12,1.887188
-55,5,1.899859
-56,6,1.91337
-71,21,1.96138
-55,5,1.976383
-67,17,2.017393
-69,19,2.060403
-72,22,2.110414
-78,28,2.171427
-76,26,2.23244
-56,6,2.244443
-65,15,2.27745
-55,5,2.288453
-73,23,2.338626
-75,25,2.396472
-62,12,2.424479
-59,9,2.445484
-71,21,2.494494
-73,23,2.547506
-67,17,2.587515
-87,37,2.675535
-75,25,2.733547
-85,35,2.811565
-58,8,2.83357
12,38,2.922594
-52,2,2.928596
-54,4,2.938598
-57,7,2.954766
-56,6,2.968769
-58,8,2.988773
-68,18,3.029787
-89,39,3.115822
-98,48,3.227876
-52,2,3.231877
-87,37,3.320158
-52,2,3.325177
-54,4,3.334166
-60,10,3.357185
-66,16,3.393072
-57,7,3.411905
-59,9,3.432908
-52,2,3.43891
-82,32,3.509925
-52,2,3.514927
-67,17,3.555937
-87,37,3.641955
-55,5,3.653959
-53,3,3.664133
-82,32,3.737149
-56,6,3.751152
-68,18,3.792166
-62,12,3.819173
-71,21,3.870194
6,44,3.97164
-62,12,3.998646
-57,7,4.014649
-66,16,4.050658
-89,39,4.143677
-85,35,4.225696
-68,18,4.267706
-56,6,4.282709
-63,13,4.312716
-78,28,4.377731
-53,3,4.384733
-116,66,4.532765
-63,13,4.562772
-86,36,4.64579
-55,5,4.657793
-60,10,4.680799
-96,46,5.70122
-66,16,5.740228
-84,34,5.819246
-55,5,5.832249
-113,63,5.979282
-63,13,6.010288
-90,40,6.101309
-74,24,6.159322
-79,29,6.226337
-65,15,6.261344
-91,41,6.359366
-67,17,6.400537
-59,9,6.423541
-60,10,6.447547
-62,12,6.474553
-108,58,6.606583
3,47,6.717607
-59,9,6.740613
-61,11,6.766618
-63,13,6.795625
-63,13,6.825632
-71,21,6.872642
-57,7,6.889646
-90,40,6.981666
-57,7,6.99767
-56,6,7.013674
-71,21,7.061684
-88,38,7.150704
-61,11,7.17471
-53,3,7.182712
-83,33,7.256728
-75,25,7.314741
-52,2,7.319742
-73,23,7.376755
-100,50,7.48878
-65,15,7.523788
-60,10,7.546793
-68,18,7.589803
-95,45,7.694826
0,50,7.810852
-67,17,7.853862
-64,14,7.88787
-55,5,7.900872
-74,24,7.955884
-54,4,7.968888
-69,19,8.012897
-92,42,8.108918
-62,12,8.138925
-114,64,8.285957
-71,21,8.335969
-56,6,8.350973
-71,21,8.399984
-54,4,8.409986
-87,37,8.491004
-67,17,8.530013
-94,44,8.634036
-83,33,8.712054
-65,15,8.748062
18,32,8.822078
-66,16,8.862087
-53,3,8.870088
-38,88,9.078134
-65,15,9.114144
-78,28,9.178415
1,49,9.294441
-57,7,9.313444
-71,21,9.363457
-59,9,9.383461
-65,15,9.41947
-60,10,9.441474
-61,11,9.467481
-82,32,9.541497
-54,4,9.551499
-134,84,9.74168
-56,6,9.756684
-63,13,9.788691
-52,2,9.792692
-92,42,9.890714
-84,34,9.970732
-80,30,10.039747
-67,17,10.080756
-62,12,10.108763
-56,6,10.122766
-52,2,10.127767
-54,4,10.137769
-59,9,10.160775
-63,13,10.190781
-67,17,10.22979
-86,36,10.313808
30,20,10.359819
-118,68,11.467263
-100,100,11.697315
-73,23,11.750326
18,32,11.823343
-107,57,11.955373
-88,38,12.041391
-82,32,12.116408
30,20,12.162419
-85,35,12.244437
-95,45,12.351461
-53,3,12.359462
36,14,12.391469
-66,16,12.428478
-91,41,12.5275
-61,11,12.554507
-82,32,12.628523
-12,62,12.769555
-66,16,12.804563
-107,57,12.933591
15,35,13.012925
-52,2,13.016926
-87,37,13.102944
-77,27,13.164958
4,46,13.270983
-67,17,13.309992
-65,15,13.345
-55,5,13.358002
6,44,13.457025
-71,21,13.506035
-84,34,13.584053
-119,69,13.738087
-92,42,13.833109
-73,23,13.88412
-20,70,14.039155
-53,3,14.046156
-142,92,14.252203
-97,47,14.37223
-61,11,14.399235
-81,31,14.470251
-85,35,14.55127
12,38,14.638289
-69,19,14.683299
-81,31,14.754449
-84,34,14.829466
-115,65,14.976499
-87,37,15.062518
-68,18,15.104527
-53,3,15.11553
-119,69,15.275564
9,41,15.371587
-76,26,15.435602
-22,72,15.602638
-52,2,15.60764
-78,28,15.672654
-52,2,15.677655
-109,59,15.809685
-75,25,15.867698
-81,31,15.938863
-36,86,17.105129
4,46,17.211152
-71,21,17.257163
-76,26,17.316175
-70,20,17.359185
-60,10,17.38319
35,15,17.417198
-69,19,17.460207
-71,21,17.509219
11,39,17.597238
-55,5,17.610241
-56,6,17.626245
37,13,17.655252
-60,10,17.679256
-89,39,17.769276
-71,21,17.818288
32,18,17.860297
-36,86,18.050197
-54,4,18.061203
-115,65,18.209815
