#{"t_start": 1655766193.15947, "env_id": "env.spec.id"}
r,l,t
-93,43,0.13651
-54,4,0.149513
-56,6,0.167517
-53,3,0.176519
-67,17,0.222532
-71,21,0.284058
-62,12,0.319066
-52,2,0.326067
-56,6,0.346027
-68,18,0.390036
-53,3,0.400039
-55,5,0.411041
-58,8,0.437742
-74,24,0.507267
-82,32,0.5983
-55,5,0.612304
-54,4,0.622811
-68,18,0.672235
-60,10,0.699574
-70,20,0.753049
-89,39,0.859703
-53,3,0.867705
-53,3,0.876707
-63,13,0.910715
-85,35,1.00625
-88,38,1.112244
-55,5,1.126668
-53,3,1.13367
-59,9,1.158675
-100,50,1.29122
-52,2,1.297222
-68,18,1.345239
-111,61,1.502867
-60,10,1.528965
-67,17,1.57398
-60,10,1.59916
-66,16,1.640728
-66,16,1.678486
-65,15,1.720159
-59,9,1.743156
-56,6,1.759163
-60,10,1.785172
-64,14,1.823482
-52,2,1.827487
-77,27,1.896119
-91,41,1.998923
-57,7,2.015929
-95,45,2.135165
-95,45,2.250018
-54,4,2.261023
-62,12,2.290843
-54,4,2.299845
-73,23,2.358406
-65,15,2.395926
-71,21,2.448955
-69,19,2.497649
-94,44,2.610865
-71,21,2.664372
-52,2,2.669373
-69,19,2.71834
-57,7,2.735652
-86,36,2.827398
-54,4,2.839477
-78,28,2.910596
-62,12,2.941471
-52,2,2.946473
-66,16,2.988514
-110,60,3.141697
-65,15,3.180713
-56,6,3.196615
-65,15,3.23551
-53,3,3.243151
-66,16,3.286186
-57,7,3.303197
-61,11,3.332202
-77,27,3.399689
-58,8,3.421828
-60,10,3.447837
-52,2,3.453887
-75,25,3.515784
-61,11,3.546793
-62,12,3.581692
-78,28,3.653363
-59,9,3.676371
-88,38,3.771477
-56,6,3.788481
-67,17,3.83101
-53,3,3.840026
-75,25,3.90304
-54,4,3.915045
-63,13,3.948398
-77,27,4.019176
-82,32,4.101258
-58,8,4.121897
-97,47,4.242038
-66,16,4.282085
-53,3,4.291089
-60,10,4.316343
-67,17,4.358358
-56,6,4.373937
-67,17,4.415359
-95,45,4.532353
-84,34,4.619015
-72,22,4.676564
-66,16,4.716009
-60,10,4.744024
-54,4,4.755028
-66,16,4.797001
-74,24,4.860884
-63,13,4.894423
-76,26,4.960464
-75,25,5.025179
-61,11,5.053464
-63,13,5.086994
-61,11,5.117843
-63,13,5.153203
21,29,5.226081
-89,39,5.32523
-102,52,6.482662
-69,19,6.528183
-79,29,6.602031
-60,10,6.628042
-60,10,6.653053
-75,25,6.715406
-81,31,6.794935
-54,4,6.805779
-84,34,6.888834
-58,8,6.910112
-58,8,6.930623
-61,11,6.959635
-88,38,7.053825
-56,6,7.068874
-52,2,7.074878
-110,60,7.228065
-11,61,7.382181
-95,45,7.496418
-77,27,7.563712
-133,83,7.774697
-65,15,7.812415
-56,6,7.828422
-53,3,7.837424
-58,8,7.858431
-101,51,7.990854
-72,22,8.046911
-59,9,8.071305
17,33,8.154058
-79,29,8.227945
-66,16,8.267948
-63,13,8.29964
-53,3,8.309858
-54,4,8.319866
-113,63,8.478556
-60,10,8.504088
-60,10,8.529409
-72,22,8.583234
-66,16,8.624137
-88,38,8.719994
-56,6,8.736003
-70,20,8.787244
-59,9,8.810244
-79,29,8.881158
-52,2,8.887161
-60,10,8.912118
-72,22,8.965323
-60,10,8.99167
-75,25,9.054013
-96,46,9.170399
-82,32,9.249866
-100,50,9.374768
-93,43,9.482666
-60,10,9.507178
-55,5,9.521188
-85,35,9.610735
-74,24,9.671741
-81,31,9.74943
-65,15,9.789185
-65,15,9.825394
-73,23,9.884666
-100,50,10.00639
-104,54,10.141104
-59,9,10.163303
-94,44,10.277947
-95,45,10.389198
-66,16,10.430734
-70,20,10.48285
-83,33,10.562394
-78,28,10.632579
-57,7,10.652589
-78,28,10.722027
-71,21,10.776093
-96,46,10.891625
-123,73,11.070434
-80,30,11.145141
-98,48,11.262126
-72,22,11.318652
-55,5,11.332659
-60,10,11.356667
-91,41,11.457188
-116,66,12.629453
-99,49,12.745974
-62,12,12.776877
-54,4,12.78888
-100,100,13.032746
-78,28,13.104399
-60,10,13.131408
-77,27,13.197931
-131,81,13.395354
-24,74,13.574374
-90,40,13.669923
-83,33,13.759953
-149,99,14.008494
-100,100,14.249757
-66,16,14.29177
-108,58,14.434974
-75,25,14.495992
-92,42,14.599219
-125,75,14.788771
-109,59,14.935405
-87,37,15.025932
-61,11,15.053464
-71,21,15.108325
-54,4,15.118854
-52,2,15.124855
-100,100,15.36985
30,20,15.418859
-125,75,15.597752
-100,100,15.840047
-125,75,16.022322
-100,50,16.147917
-106,56,16.28282
-119,69,16.457902
-100,100,16.692015
-128,78,16.876298
-143,93,17.104082
-52,2,17.111085
-63,13,17.143096
-79,29,17.215187
-66,16,17.25431
-78,28,17.324869
-113,63,17.478674
-65,15,17.515193
-80,30,17.587315
-100,100,18.838366
-54,4,18.84795
-100,100,19.08867
-63,13,19.122674
-102,52,19.24772
-100,100,19.489094
-121,71,19.663285
-100,100,19.904119
-109,59,20.046967
-58,8,20.066971
-102,52,20.193638
-62,12,20.223281
-13,63,20.379753
-100,50,20.505428
-100,100,20.749301
-59,9,20.771309
31,19,20.817654
-100,100,21.061284
-77,27,21.127383
23,27,21.190265
-149,99,21.441832
-100,100,21.704635
40,10,21.730643
-69,19,21.782658
-82,32,21.866488
-100,100,22.135961
-53,3,22.14496
-100,100,22.408081
-16,66,22.580602
-22,72,22.765455
-100,100,23.032778
-105,55,23.177881
-124,74,23.371339
-101,51,23.506016
-57,7,23.525591
-75,25,23.594135
-58,8,23.616159
-128,78,24.884235
-77,27,24.950765
-53,3,24.957769
-134,84,25.178225
22,28,25.250389
-141,91,25.485383
-60,10,25.5129
-62,12,25.547567
-98,48,25.672727
-53,3,25.680729
-119,69,25.858725
29,21,25.912901
-132,82,26.126733
-119,69,26.304835
-142,92,26.539542
-65,15,26.579437
-56,6,26.59544
22,28,26.667295
-72,22,26.726272
-65,15,26.765171
-86,36,26.856221
-59,9,26.880858
-121,71,27.058445
-100,100,27.313649
-61,11,27.341658
-55,5,27.353907
-89,39,27.454951
27,23,27.513787
-113,63,27.671736
-63,13,27.705586
-54,4,27.716591
-67,17,27.761236
-14,64,27.926469
-77,27,27.996137
21,29,28.070657
-100,100,28.330215
-61,11,28.359328
-70,20,28.409766
-66,16,28.451564
-146,96,28.694674
-95,45,28.811457
-99,49,28.935463
-52,2,28.941987
-58,8,28.963001
-100,100,29.220239
-52,2,29.22624
6,44,29.336484
-55,5,29.34949
25,25,29.405502
-79,29,29.471517
-50,100,29.700569
-99,49,29.811594
-107,57,29.941623
-100,100,31.124182
4,46,31.246963
-64,14,31.284597
29,21,31.342162
-28,78,31.541668
-77,27,31.608804
-59,9,31.63234
17,33,31.729596
-140,90,31.998177
21,29,32.084
-59,9,32.112143
-85,35,32.216332
-57,7,32.23877
21,29,32.324791
-77,27,32.403133
-80,30,32.487546
34,16,32.533117
-7,57,32.687158
-20,70,32.875146
-100,100,33.143981
-100,100,33.409267
-100,100,33.678803
25,25,33.748469
-100,100,34.011792
-62,12,34.043126
-13,63,34.216016
-76,26,34.282803
-67,17,34.331664
-57,7,34.351179
-100,100,34.616123
-58,8,34.638134
-54,4,34.649666
-95,45,34.769924
-104,54,34.909198
-75,25,34.977255
-100,100,35.247376
-66,16,35.289973
26,24,35.355376
11,39,35.459635
-100,100,35.720531
-97,47,35.845615
-75,25,35.910104
-131,81,36.13187
-74,24,36.196115
-98,48,36.323225
-107,57,36.477247
-100,50,37.64039
10,40,37.738184
-106,56,37.872619
13,37,37.962657
-6,56,38.097087
3,47,38.221408
-73,23,38.277406
9,41,38.374498
15,35,38.464149
23,27,38.52886
-56,6,38.543866
30,20,38.591993
-94,44,38.69953
-56,6,38.715536
-57,7,38.733542
-142,92,38.956278
-61,11,38.984313
-92,42,39.083853
-63,13,39.119874
-33,83,39.323518
10,40,39.421515
26,24,39.479731
-63,13,39.512569
-131,81,39.708627
-100,100,39.943759
18,32,40.021308
-42,92,40.247755
35,15,40.284106
-100,100,40.525252
-132,82,40.725653
-5,55,40.859348
-35,85,41.064241
-57,7,41.080246
28,22,41.137288
-31,81,41.33406
32,18,41.376208
-77,27,41.442569
16,34,41.526075
-95,45,41.637348
-70,20,41.687984
7,43,41.79098
-63,13,41.825734
22,28,41.893789
25,25,41.954849
-82,32,42.032705
-56,6,42.048711
16,34,42.134568
-71,21,42.186167
-93,43,42.291242
-32,82,42.487279
-112,62,43.665541
-54,4,43.677001
31,19,43.722564
27,23,43.780587
-26,76,43.965281
38,12,43.995291
-89,39,44.090621
15,35,44.178247
-69,19,44.224296
36,14,44.258483
3,47,44.373381
29,21,44.423428
23,27,44.487565
37,13,44.519529
13,37,44.609685
31,19,44.655004
-5,55,44.78923
23,27,44.854759
28,22,44.909561
21,29,44.97859
19,31,45.056022
-7,57,45.197707
31,19,45.242999
28,22,45.300773
26,24,45.366856
35,15,45.403071
-59,9,45.42521
10,40,45.524034
-8,58,45.664073
37,13,45.698031
35,15,45.735519
15,35,45.821036
-56,6,45.834565
-66,16,45.872921
-56,6,45.888015
-57,7,45.905217
-61,11,45.930728
