#{"t_start": 1655763974.7687097, "env_id": "env.spec.id"}
r,l,t
-87,37,0.109024
-65,15,0.152034
-53,3,0.162036
-71,21,0.215048
-82,32,0.302068
-82,32,0.387087
-54,4,0.398089
-59,9,0.425096
-87,37,0.525299
-57,7,0.543302
-65,15,0.58131
-61,11,0.607316
-62,12,0.639323
-75,25,0.699337
-61,11,0.730344
-55,5,0.744347
-61,11,0.773353
-74,24,0.836368
-55,5,0.850371
-83,33,0.937391
-54,4,0.948392
-83,33,1.030411
-83,33,1.111429
-58,8,1.134434
-54,4,1.144436
-54,4,1.15744
-59,9,1.179444
-111,61,1.338481
-73,23,1.396493
-83,33,1.476706
-57,7,1.49571
-73,23,1.553723
-85,35,1.642743
-73,23,1.703757
-52,2,1.708758
-64,14,1.746767
-63,13,1.781774
-55,5,1.794778
-58,8,1.815782
-103,53,1.954813
-77,27,2.025828
-60,10,2.052835
-65,15,2.092844
-56,6,2.109848
-67,17,2.153858
-53,3,2.16086
-59,9,2.184865
-63,13,2.217873
-106,56,2.367906
-62,12,2.400913
-58,8,2.422917
-70,20,2.475929
-58,8,2.497935
-65,15,2.536944
-97,47,2.65397
-97,47,2.771996
-67,17,2.816006
-55,5,2.831009
-79,29,2.902025
-67,17,2.944035
30,20,2.992046
-75,25,3.05506
-59,9,3.077065
-64,14,3.113073
-60,10,3.137078
-58,8,3.158082
-56,6,3.173255
-53,3,3.181257
-60,10,3.205262
-52,2,3.210263
-54,4,3.221267
-56,6,3.23627
-89,39,3.332291
-59,9,3.359297
-84,34,3.446316
-89,39,3.542339
-71,21,3.59535
-55,5,3.609352
-55,5,3.622356
-82,32,3.698373
-109,59,3.848408
-58,8,3.867412
-87,37,3.963432
-53,3,3.972435
-72,22,4.028656
-81,31,4.106673
-73,23,4.169687
-61,11,4.196692
-63,13,4.228925
-52,2,4.233926
-56,6,4.252438
-62,12,4.287446
-66,16,4.332455
-54,4,4.343862
-61,11,4.371868
-82,32,4.458453
-60,10,4.485648
-71,21,4.54166
-75,25,4.606675
-54,4,4.619678
-57,7,4.637682
-82,32,4.7187
-57,7,4.737704
-52,2,4.744705
-58,8,4.76671
-81,31,4.843728
-61,11,4.872734
-68,18,4.918744
-81,31,4.998764
-54,4,5.009765
-54,4,5.020768
-60,10,5.047773
-60,10,5.074779
-90,40,5.174802
-66,16,5.21581
-63,13,5.248818
-65,15,5.285826
-65,15,6.22202
-97,47,6.331855
-70,20,6.381866
-64,14,6.414874
-58,8,6.434878
-89,39,6.527899
-68,18,6.57191
-89,39,6.664929
-69,19,6.711941
-57,7,6.728945
-61,11,6.757132
-112,62,6.903164
-53,3,6.911166
-81,31,6.989335
-104,54,7.121364
