#{"t_start": 1655238131.8572154, "env_id": "env.spec.id"}
r,l,t
-70,20,0.038009
8,42,0.109025
-69,19,0.139032
-52,2,0.142032
-52,2,0.146033
-64,14,0.169039
-70,20,0.201047
-56,6,0.211048
-64,14,0.234053
-66,16,0.261059
-62,12,0.281064
-52,2,0.284064
-57,7,0.296067
-103,53,0.382086
-80,30,0.430099
-52,2,0.4331
-70,20,0.466107
-71,21,0.500115
-55,5,0.508117
-56,6,0.517118
-57,7,0.528121
-59,9,0.543125
-59,9,0.557127
-70,20,0.589135
-73,23,0.627143
-81,31,0.676154
-61,11,0.694158
-62,12,0.713163
-104,54,0.799182
-58,8,0.812185
-85,35,0.868318
-71,21,0.901326
-62,12,0.92133
-90,40,0.985345
-69,19,1.016351
-93,43,1.084367
6,44,1.156383
-73,23,1.192391
-52,2,1.195392
-64,14,1.218397
-52,2,1.221398
-70,20,1.254405
-100,50,1.333424
36,14,1.355428
-55,5,1.36443
-60,10,1.380434
-56,6,1.389436
-72,22,1.425444
26,24,1.463453
-54,4,1.470454
-54,4,1.476455
-82,32,1.528597
-60,10,1.544601
-104,54,1.631621
-61,11,1.648624
-79,29,1.695635
-84,34,1.749647
-52,2,1.753648
-57,7,1.76465
-68,18,1.794657
-52,2,1.797658
-55,5,1.80566
-60,10,1.820663
-65,15,1.844668
-54,4,1.851671
-62,12,1.871675
-53,3,1.876676
-60,10,1.892679
-59,9,1.910683
-59,9,1.926687
23,27,1.968696
-87,37,2.026709
-89,39,2.088723
-68,18,2.11673
-70,20,2.149737
-58,8,2.16174
-66,16,2.186878
-74,24,2.224887
-60,10,2.241891
-69,19,2.272898
-53,3,2.277899
-55,5,2.285901
-53,3,2.290902
-81,31,2.337912
-54,4,2.343914
-54,4,2.350915
19,31,2.399926
-60,10,2.41493
-57,7,2.425932
-54,4,2.432934
-68,18,2.460941
-68,18,2.489947
-52,2,2.493948
-59,9,2.507951
-77,27,2.550961
-55,5,2.558962
-63,13,2.579967
-108,58,2.670988
-65,15,2.694993
-54,4,2.701995
-52,2,2.704995
-57,7,2.715997
-65,15,2.740003
-55,5,2.747005
-55,5,2.756007
-61,11,2.774011
-81,31,2.822022
-54,4,2.828023
-85,35,2.884036
-52,2,2.887036
-64,14,2.910041
-93,43,2.977056
-62,12,2.996061
-80,30,3.044074
-53,3,3.048074
-80,30,3.096085
-60,10,3.112089
-73,23,3.148097
-68,18,3.176103
-70,20,3.20811
-61,11,3.226115
-82,32,3.277127
-119,69,4.132456
-53,3,4.137458
-82,32,4.18895
-93,43,4.256484
-59,9,4.270487
-73,23,4.307496
-92,42,4.37251
-58,8,4.385513
-54,4,4.391515
-102,52,4.473534
-80,30,4.519543
-68,18,4.549551
-82,32,4.600561
-52,2,4.604563
-53,3,4.609564
-62,12,4.628568
-71,21,4.660575
-57,7,4.672578
-67,17,4.698584
-80,30,4.744594
-80,30,4.792605
-82,32,4.843616
-61,11,4.86062
-53,3,4.865621
-58,8,4.878624
-65,15,4.901629
-68,18,4.929761
-73,23,4.966772
-62,12,4.986776
-117,67,5.089799
-58,8,5.102803
-57,7,5.114805
-64,14,5.13681
-67,17,5.163816
-52,2,5.167817
41,9,5.18282
-78,28,5.22683
-68,18,5.254837
-63,13,5.276841
-63,13,5.296846
-55,5,5.305848
-65,15,5.328378
-134,84,5.459407
-60,10,5.475411
-87,37,5.533424
-54,4,5.540425
-123,73,5.654451
-76,26,5.695461
-57,7,5.706463
-69,19,5.73747
-55,5,5.745471
-52,2,5.748472
-92,42,5.813487
-60,10,5.82949
-59,9,5.843494
-60,10,5.860497
-75,25,5.899506
-54,4,5.905508
-56,6,5.91551
-56,6,5.924512
-69,19,5.954519
-59,9,5.969522
-84,34,6.023535
-75,25,6.062543
-58,8,6.076546
-56,6,6.085548
-83,33,6.13856
-52,2,6.142561
-64,14,6.164566
-83,33,6.216577
-67,17,6.242583
-57,7,6.254586
-76,26,6.295596
-67,17,6.321601
-78,28,6.366611
-58,8,6.379614
-71,21,6.412621
-55,5,6.420624
-86,36,6.478639
-65,15,6.503647
-62,12,6.52265
-62,12,6.541655
-104,54,6.625674
-65,15,6.649679
-52,2,6.65268
-65,15,6.677685
-72,22,6.713694
-107,57,6.805715
-81,31,6.856726
-65,15,6.880731
-54,4,6.888733
-53,3,6.893734
-104,54,6.979753
-65,15,7.004759
-55,5,7.012761
-75,25,7.053771
-70,20,7.087778
-80,30,7.135789
-77,27,7.178798
-61,11,7.196803
-54,4,7.203804
-66,16,7.23081
-86,36,7.290828
-102,52,8.151024
-66,16,8.176029
-63,13,8.198035
-74,24,8.236043
-77,27,8.279053
-79,29,8.326064
-52,2,8.329064
-80,30,8.377075
-88,38,8.437214
-53,3,8.442215
-100,50,8.520233
-126,76,8.64226
-87,37,8.700276
-79,29,8.747288
-60,10,8.763292
-62,12,8.782296
-58,8,8.795299
-77,27,8.838308
-64,14,8.860313
-78,28,8.906324
-60,10,8.922327
-52,2,8.925328
-81,31,8.974339
-141,91,9.121374
-145,95,9.270408
-78,28,9.315418
-85,35,9.36943
-99,49,9.447448
-83,33,9.500461
-90,40,14.098517
-100,50,14.179535
-56,6,14.189537
-63,13,14.209542
-71,21,14.24455
-69,19,14.274556
-55,5,14.282558
-79,29,14.329569
-74,24,14.367577
-75,25,14.407586
-78,28,14.451739
-81,31,14.50075
-100,100,14.660786
-91,41,14.726803
-125,75,14.84483
-79,29,14.89184
-70,20,14.922847
-96,46,14.995864
-134,84,15.129895
-67,17,15.157902
-71,21,15.190909
-58,8,15.204912
-88,38,15.264926
-54,4,15.270927
-88,38,15.330941
-77,27,15.37295
-61,11,15.391954
-45,95,15.542495
-71,21,15.575503
-75,25,15.615512
-54,4,15.622513
-62,12,15.641518
-72,22,15.676526
-124,74,15.795552
-52,2,15.799553
-66,16,15.824559
-119,69,16.692761
-84,34,16.746774
-61,11,16.765778
-53,3,16.769779
-66,16,16.795785
-70,20,16.827792
-62,12,16.846797
-99,49,16.924814
-65,15,16.949819
-60,10,16.965823
-54,4,16.972824
-104,54,17.058846
-114,64,17.160869
-81,31,17.211005
-68,18,17.239012
-94,44,17.310027
-63,13,17.331032
-138,88,17.472064
-63,13,17.493068
-100,100,17.652104
-65,15,17.677111
-62,12,17.696114
-87,37,17.755129
-100,100,17.914165
-72,22,17.949173
-109,59,18.043194
-141,91,18.189231
5,45,18.259246
-131,81,18.388275
-86,36,18.446289
-105,55,18.533415
-134,84,18.668445
-112,62,18.767468
-72,22,18.802476
-100,100,18.961512
-55,5,18.969514
-54,4,18.975514
-100,100,19.13555
-85,35,19.190563
-100,100,19.349601
-100,100,19.509637
-82,32,19.561648
-64,14,19.583653
-100,100,19.743692
-55,5,19.752694
-112,62,19.849716
-111,61,20.707198
-110,60,20.801219
-100,100,20.958254
-66,16,20.983259
-109,59,21.07528
-118,68,21.181304
-87,37,21.239322
-79,29,21.285455
-100,100,21.43949
-52,2,21.443491
-81,31,21.491502
-83,33,21.544514
-100,50,21.623532
-135,85,21.754561
-57,7,21.766564
-62,12,21.785568
-100,100,21.941603
-100,100,22.097638
-53,3,22.102639
-100,50,22.184658
-100,100,22.341695
-112,62,22.43772
-78,28,22.48373
-58,8,22.496733
-60,10,22.512737
-108,58,22.602757
-92,42,22.669299
-63,13,22.690304
-88,38,22.749317
-94,44,22.818332
-119,69,22.925357
-102,52,23.007375
-79,29,23.054387
-116,66,23.158411
-91,41,23.221425
-80,30,23.268572
