#{"t_start": 1654628621.875252, "env_id": "env.spec.id"}
r,l,t
-63,13,0.028006
-60,10,0.04601
-90,40,0.115025
-64,14,0.140031
-86,36,0.203045
-61,11,0.22405
-62,12,0.246055
-57,7,0.258058
-61,11,0.278063
-76,26,0.323072
-81,31,0.377085
-65,15,0.403091
-83,33,0.460104
-66,16,0.48811
-70,20,0.522117
-52,2,0.526118
-59,9,0.542122
-85,35,0.603136
-52,2,0.607136
-100,50,0.692156
-65,15,0.718161
-71,21,0.75517
-85,35,0.815292
-85,35,0.875306
-54,4,0.882307
-65,15,0.908313
-90,40,0.977329
-52,2,0.98133
-57,7,0.994333
-78,28,1.043344
-58,8,1.058347
-52,2,1.062348
-62,12,1.083353
-75,25,1.129363
-58,8,1.143366
-57,7,1.156369
-57,7,1.168372
34,16,1.196378
-73,23,1.236387
-55,5,1.245389
-62,12,1.266394
-54,4,1.274396
-63,13,1.2964
-53,3,1.302402
-82,32,1.357414
-75,25,1.400424
-56,6,1.411427
-67,17,1.440433
-55,5,1.449435
-98,48,1.532454
-71,21,1.568462
-52,2,1.572463
-121,71,1.69449
-69,19,1.727497
-61,11,1.746502
-52,2,1.750503
-58,8,1.764506
-56,6,1.775508
-52,2,1.778509
-84,34,1.837522
-64,14,1.861527
-59,9,1.877531
-53,3,1.882532
-80,30,1.934544
-77,27,1.981555
-100,100,2.152593
-65,15,2.178714
-56,6,2.189716
-70,20,2.223724
-66,16,2.25173
-79,29,2.301742
-61,11,2.321746
-77,27,2.367757
-54,4,2.375758
-57,7,2.387761
-53,3,2.392762
-53,3,2.398764
-75,25,2.441773
-104,54,2.534794
-86,36,2.596808
-52,2,2.600809
-60,10,2.617813
-71,21,2.654821
-63,13,2.676826
-129,79,2.812857
-69,19,2.845864
-52,2,2.849865
-55,5,2.857867
-53,3,2.863869
-89,39,2.930883
-58,8,2.945887
-57,7,2.957889
-62,12,2.978894
-86,36,3.040908
-69,19,3.073916
-52,2,3.077916
-65,15,3.103922
-93,43,3.177939
-113,63,3.285963
-67,17,3.31597
-76,26,3.36098
-52,2,3.364981
-55,5,3.373983
-94,44,3.45
-59,9,3.466004
-57,7,3.478006
-58,8,3.492009
-99,49,4.320318
-99,49,4.404337
-91,41,4.474465
-60,10,4.492469
-52,2,4.49647
-54,4,4.503472
-74,24,4.544481
-78,28,4.592491
-83,33,4.649504
-85,35,4.709518
-146,96,4.874555
-67,17,4.903561
-53,3,4.909563
-54,4,4.916564
-98,48,4.999583
-136,86,5.146616
-64,14,5.170622
-69,19,5.203629
-63,13,5.226635
-61,11,5.245639
-98,48,5.328657
-81,31,5.381669
-53,3,5.387671
-80,30,5.438682
-70,20,5.47369
-67,17,5.502697
-85,35,5.56371
-95,45,5.640728
-80,30,5.691739
-60,10,5.709743
-56,6,5.719745
-81,31,5.773758
-58,8,5.78776
-56,6,5.798763
-57,7,5.810766
-65,15,5.836771
-124,74,5.9628
-105,55,6.057822
-72,22,6.09583
-54,4,6.102831
-73,23,6.14284
-85,35,6.202854
-102,52,6.291987
-70,20,6.325994
-78,28,6.374006
-73,23,6.414014
-63,13,6.43702
-115,65,6.549045
-52,2,6.553046
-63,13,6.575051
-109,59,6.676073
-65,15,6.702079
-66,16,6.730086
-100,100,6.901124
-120,70,7.020151
-71,21,7.056159
-73,23,7.096168
-64,14,7.120173
-53,3,7.126175
-55,5,7.135177
-64,14,7.159182
-78,28,7.208193
-66,16,7.235199
-67,17,7.265206
-55,5,7.273208
-84,34,7.332221
-77,27,7.379232
-61,11,7.398236
-55,5,7.407238
-59,9,7.422241
-62,12,7.443246
-117,67,7.558272
-58,8,7.572275
-106,56,7.669297
-60,10,7.686301
-62,12,7.707305
-57,7,7.719308
-81,31,7.77332
-134,84,8.664521
-133,83,8.805552
-124,74,8.930581
-131,81,9.067612
-98,48,9.147629
-136,86,9.292662
-54,4,9.299664
-75,25,9.342673
-103,53,9.432694
-53,3,9.437695
-80,30,9.488809
-116,66,9.599834
-60,10,9.617838
-63,13,9.639843
-80,30,9.690855
-74,24,9.731863
-55,5,9.739865
-53,3,9.745867
-101,51,9.831886
-62,12,9.852891
-55,5,9.861893
-53,3,9.866894
-70,20,9.900902
-69,19,9.933909
-97,47,10.012927
