#{"t_start": 1655838444.1089067, "env_id": "env.spec.id"}
r,l,t
-74,24,0.060519
-84,34,0.139537
-55,5,0.151539
-92,42,0.243364
-70,20,0.286283
-68,18,0.324137
-77,27,0.382151
-73,23,0.430329
-76,26,0.484167
-52,2,0.489167
-103,53,0.600363
-70,20,0.641332
-53,3,0.648333
-58,8,0.665337
-73,23,0.713347
-75,25,0.766476
25,25,0.818655
35,15,0.850282
-77,27,0.906295
-58,8,0.924299
-67,17,0.958489
-85,35,1.030505
-60,10,1.051509
-52,2,1.057152
-61,11,1.080152
-52,2,1.085154
-67,17,1.122161
-53,3,1.129163
-62,12,1.153169
-56,6,1.165171
-60,10,1.187176
-100,100,1.392732
-60,10,1.413755
-79,29,1.473686
-87,37,1.549124
-64,14,1.578
-62,12,1.602704
-62,12,1.627711
-74,24,1.676723
-57,7,1.691726
-59,9,1.71073
-58,8,1.727569
-61,11,1.750574
-62,12,1.775729
-74,24,1.82374
-62,12,1.850605
-86,36,1.924751
-76,26,1.976843
34,16,2.01085
-67,17,2.046749
-63,13,2.073756
-66,16,2.108763
-103,53,2.215873
-61,11,2.238701
-69,19,2.277699
-88,38,2.351844
-66,16,2.385702
-74,24,2.435549
-92,42,2.52426
-64,14,2.553385
-74,24,2.605398
-70,20,2.64724
-53,3,2.654242
-66,16,2.68825
-81,31,2.753269
-78,28,2.812279
-59,9,2.831284
-70,20,2.877151
-59,9,2.897156
-59,9,2.915159
-73,23,2.96317
-63,13,2.991176
-95,45,3.081197
-65,15,3.112204
-129,79,3.27324
-55,5,3.284242
-53,3,3.290243
-58,8,3.307247
-59,9,3.325251
-61,11,3.348256
-62,12,3.371261
-62,12,3.396266
-101,51,3.501296
-100,50,3.60144
-109,59,3.7202
-64,14,3.749206
-62,12,3.773212
-56,6,3.786215
-65,15,3.817222
-54,4,3.826224
-70,20,3.866233
-64,14,3.895239
-52,2,3.90024
-104,54,4.009266
-61,11,4.031269
-53,3,4.03727
-78,28,4.093687
-71,21,4.136697
-54,4,4.145515
-87,37,4.2197
-95,45,5.158019
-116,66,5.289048
-64,14,5.317054
-61,11,5.34006
-71,21,5.383069
-101,51,5.484092
-62,12,5.508098
-97,47,5.600117
-82,32,5.662132
-76,26,5.714143
-59,9,5.732147
-57,7,5.746375
-120,70,5.885406
-79,29,5.942418
-66,16,5.973426
-74,24,6.020436
-57,7,6.03444
-70,20,6.074449
-56,6,6.08645
-81,31,6.148464
-116,66,6.279494
-93,43,6.363512
-76,26,6.415524
-56,6,6.427526
-64,14,6.455533
-54,4,6.464535
-67,17,6.497542
-60,10,6.517546
-72,22,6.560556
-80,30,6.62057
-74,24,6.66858
-67,17,6.703588
-73,23,6.749599
-53,3,6.7556
-10,60,6.875627
25,25,6.92678
-61,11,6.948785
-90,40,7.030803
-66,16,7.064811
-72,22,7.112821
-122,72,7.260407
-64,14,7.289414
-8,58,7.40944
-76,26,7.463452
-75,25,7.515463
-64,14,7.542469
-52,2,7.54747
-68,18,7.583478
-62,12,7.608484
-90,40,7.690502
-105,55,7.802527
-53,3,7.80853
2,48,7.90555
-71,21,7.948693
-69,19,7.987701
-65,15,8.018708
-76,26,8.07372
-61,11,8.094724
-63,13,8.120731
-86,36,8.197748
-87,37,8.273765
-63,13,8.299771
-74,24,8.348781
-66,16,8.380789
-84,34,8.448803
-84,34,8.517819
-120,70,8.659851
-119,69,8.800882
-52,2,8.804884
-60,10,8.824888
-142,92,9.012929
-89,39,9.092948
-84,34,9.161963
-71,21,9.204973
-136,86,10.268202
-95,45,10.359222
-95,45,10.448242
-100,100,10.647288
36,14,10.675293
-98,48,10.771626
-63,13,10.797632
-59,9,10.814635
-76,26,10.868647
-93,43,10.954667
-71,21,10.996675
-76,26,11.050689
-87,37,11.125705
-88,38,11.202994
-80,30,11.263007
-129,79,11.423303
-120,70,11.564453
-62,12,11.589459
-97,47,11.68248
-110,60,11.801647
-90,40,11.882665
-55,5,11.892667
-71,21,11.937678
-60,10,11.957682
-64,14,11.984688
-103,53,12.092711
-70,20,12.132721
-87,37,12.206737
-72,22,12.252747
-22,72,12.39678
-52,2,12.40078
-72,22,12.445791
-73,23,12.4908
-88,38,12.565817
-85,35,12.634832
-100,100,12.832174
-60,10,12.852178
-63,13,12.879184
-75,25,12.928195
-95,45,13.018215
-60,10,13.03922
-55,5,13.051224
-100,100,13.251581
-132,82,13.418414
-93,43,13.505433
-76,26,13.559444
-52,2,13.563445
-63,13,13.588451
-89,39,13.668469
-56,6,13.680472
-81,31,13.742485
-54,4,13.751487
-81,31,13.8115
-63,13,13.838507
-118,68,13.973537
-52,2,13.977538
-53,3,13.98454
-83,33,14.057555
-58,8,14.079561
-93,43,14.184584
-56,6,14.198587
-79,29,14.268603
-80,30,15.436025
-54,4,15.44703
-90,40,15.539048
-64,14,15.573056
-58,8,15.594061
-66,16,15.63107
26,24,15.687082
-68,18,15.728091
-76,26,15.789273
-96,46,15.899276
-61,11,15.926283
-57,7,15.943286
-61,11,15.969129
-80,30,16.040144
-53,3,16.048147
-68,18,16.089155
32,18,16.135165
-90,40,16.231187
-38,88,16.439658
-53,3,16.447482
-63,13,16.477471
-121,71,16.640992
28,22,16.694673
-18,68,16.851319
-100,100,17.085372
-87,37,17.17039
-64,14,17.205398
-100,100,17.436449
-117,67,17.592484
-100,100,17.828537
-100,100,18.06659
-65,15,18.103608
-95,45,18.210623
-52,2,18.218624
-68,18,18.260633
-52,2,18.266634
-2,52,18.390662
3,47,18.501687
-137,87,18.704733
-5,55,18.832761
17,33,18.910778
-72,22,18.96279
-83,33,19.045808
-82,32,19.127827
-8,58,19.262857
-141,91,19.445898
-17,67,19.580074
-87,37,19.65409
-100,100,19.855136
-72,22,19.899145
-68,18,19.936153
19,31,19.997167
-77,27,20.051179
-100,100,21.124345
-100,100,21.327391
10,40,21.408408
-96,46,21.50143
-100,100,21.699473
-74,24,21.747484
22,28,21.805498
-89,39,21.883515
-3,53,21.989538
-71,21,22.031547
-100,100,22.232592
-105,55,22.369623
14,36,22.456642
-83,33,22.535661
25,25,22.594674
-70,20,22.642684
-112,62,22.789716
-2,52,22.913745
-101,51,23.03177
-116,66,23.187805
-10,60,23.337839
-100,100,23.575892
-100,100,23.811069
24,26,23.873082
-69,19,23.919093
-100,100,24.155145
13,37,24.242165
-86,36,24.329184
-25,75,24.508225
-2,52,24.631252
18,32,24.706269
-112,62,24.8503
-124,74,25.026514
-133,83,25.219557
-20,70,25.384595
15,35,25.464613
-103,53,25.589641
19,31,26.68753
-83,33,26.766547
-70,20,26.816558
-114,64,26.967592
-113,63,27.117627
-120,70,27.286663
1,49,27.40269
-68,18,27.442698
-8,58,27.575411
-68,18,27.618421
16,34,27.6966
-54,4,27.707602
-76,26,27.768616
-55,5,27.779619
28,22,27.833631
-103,53,27.955658
20,30,28.023673
-107,57,28.156703
13,37,28.241738
-83,33,28.317756
-58,8,28.33776
-52,2,28.343761
13,37,28.427779
-72,22,28.480298
29,21,28.526308
-2,52,28.645091
-52,2,28.651093
-61,11,28.676099
-62,12,28.706007
35,15,28.742016
-95,45,28.84704
15,35,28.927096
-69,19,28.971126
22,28,29.038215
29,21,29.086226
-105,55,29.213254
-55,5,29.227257
1,49,29.379291
3,47,29.543328
-60,10,29.580336
26,24,29.649266
19,31,29.720196
3,47,29.827117
34,16,29.865125
-66,16,29.902133
-92,42,29.999155
-59,9,30.02016
21,29,30.086174
-91,41,30.179195
-70,20,30.226206
-84,34,30.30832
-65,15,30.343327
26,24,30.39934
-68,18,30.441349
-6,56,30.572379
-101,51,30.687404
-53,3,30.693406
17,33,30.773424
-83,33,30.84944
25,25,30.906452
-19,69,31.066488
12,38,31.153508
3,47,31.259531
-78,28,31.321545
-77,27,31.38456
28,22,31.436571
-118,68,32.493529
-65,15,32.523535
10,40,32.604554
8,42,32.687572
2,48,32.785594
-9,59,32.901619
34,16,32.933627
18,32,32.998641
23,27,33.052653
32,18,33.089661
-62,12,33.114667
31,19,33.152676
-7,57,33.2667
-59,9,33.285705
-60,10,33.306711
3,47,33.399731
30,20,33.44074
20,30,33.502754
12,38,33.579771
3,47,33.673792
37,13,33.697949
-66,16,33.730956
22,28,33.786969
33,17,33.820977
-20,70,33.963009
21,29,34.023021
26,24,34.072032
20,30,34.134047
36,14,34.162053
34,16,34.19406
-82,32,34.260075
33,17,34.296083
37,13,34.323088
-108,58,34.438113
-64,14,34.468121
-56,6,34.480124
24,26,34.534136
-69,19,34.572144
-16,66,34.706174
-100,100,34.907219
-78,28,34.964232
37,13,34.992238
26,24,35.042249
32,18,35.079258
25,25,35.13427
-52,2,35.138271
-64,14,35.166277
-81,31,35.22829
30,20,35.2693
25,25,35.320312
-64,14,35.349318
24,26,35.400329
41,9,35.420333
19,31,35.482347
-58,8,35.498351
-65,15,35.529358
-88,38,35.605375
-72,22,35.650384
-55,5,35.661387
37,13,35.688393
38,12,35.713398
26,24,35.761409
-6,56,35.87589
-24,74,36.024923
-149,99,36.226968
-62,12,36.250973
30,20,36.289982
-62,12,36.314987
-61,11,36.337993
-84,34,36.406008
30,20,36.447017
-55,5,36.45802
-52,2,36.462021
-65,15,36.491027
-26,76,37.50359
-57,7,37.518594
30,20,37.561604
-65,15,37.59161
30,20,37.632619
22,28,37.688632
21,29,37.745645
33,17,37.779651
11,39,37.856669
-61,11,37.879674
-77,27,37.933686
-52,2,37.938687
25,25,37.989699
-52,2,37.994701
-70,20,38.03571
32,18,38.072717
22,28,38.12973
26,24,38.179741
33,17,38.212749
32,18,38.251758
28,22,38.294767
-69,19,38.333776
8,42,38.417794
-1,51,38.519817
22,28,38.57783
10,40,38.657848
40,10,38.678852
-58,8,38.696029
29,21,38.738038
37,13,38.765044
-65,15,38.795051
-66,16,38.828059
23,27,38.88107
13,37,38.956087
24,26,39.007098
14,36,39.081115
39,11,39.10412
-57,7,39.118124
32,18,39.155131
38,12,39.179136
26,24,39.228148
18,32,39.293162
31,19,39.331172
33,17,39.366179
-69,19,39.405187
24,26,39.457199
37,13,39.483204
13,37,39.559222
32,18,39.59623
27,23,39.64324
-81,31,39.707254
39,11,39.73026
36,14,39.759266
23,27,39.815279
32,18,39.852287
7,43,39.939492
24,26,39.991504
-62,12,40.01651
21,29,40.074522
38,12,40.099528
31,19,40.137536
