#{"t_start": 1654694933.4213936, "env_id": "env.spec.id"}
r,l,t
-53,3,0.016003
-52,2,0.023004
-81,31,0.100144
-62,12,0.132151
-53,3,0.141153
-56,6,0.157157
-60,10,0.182163
-55,5,0.194165
-55,5,0.207169
-54,4,0.217171
-71,21,0.265182
-81,31,0.334198
-52,2,0.339199
-55,5,0.352201
-65,15,0.386209
-68,18,0.426218
-54,4,0.43522
-62,12,0.462344
-68,18,0.503358
-105,55,0.626386
-59,9,0.647391
-52,2,0.652391
-54,4,0.662394
-56,6,0.677397
-59,9,0.697402
-57,7,0.713406
-82,32,0.785422
-55,5,0.797424
-59,9,0.818429
-58,8,0.836433
-58,8,0.855437
-75,25,0.91145
-76,26,0.970464
-59,9,0.991468
-114,64,1.1335
-65,15,1.167507
-88,38,1.250526
-66,16,1.287534
-52,2,1.293536
-74,24,1.346548
-54,4,1.35655
-96,46,1.458573
-73,23,1.509585
-70,20,1.553594
-57,7,1.569598
-57,7,1.586602
-61,11,1.612608
-75,25,1.668621
-90,40,1.75764
-53,3,1.764642
-92,42,1.857807
-62,12,1.884813
-54,4,1.894815
-71,21,1.940825
-65,15,1.975833
-58,8,1.994838
-84,34,2.068854
-54,4,2.078856
-71,21,2.125867
-74,24,2.178879
-60,10,2.202885
-52,2,2.207886
-66,16,2.243894
-75,25,2.299906
-91,41,2.390929
-69,19,2.431938
-57,7,2.448942
-57,7,2.465946
-53,3,2.473948
-55,5,2.48495
34,16,2.520958
-112,62,2.65999
-92,42,2.753011
-90,40,2.842031
-64,14,2.873037
-55,5,2.884041
-63,13,2.913047
-54,4,2.923049
-56,6,2.937052
-54,4,2.946054
-52,2,2.951055
-64,14,2.982062
-56,6,2.996066
-78,28,3.059079
15,35,3.136097
-92,42,3.230118
-94,44,3.32914
-57,7,3.345144
-76,26,3.403157
-65,15,3.437165
-52,2,3.443166
-95,45,3.541188
-100,50,3.654214
-53,3,3.661215
-92,42,3.755236
-71,21,3.802247
-80,30,3.869262
-64,14,3.900269
-87,37,3.984794
-62,12,4.010799
-53,3,4.019801
-63,13,4.048807
-77,27,4.108821
-66,16,4.14483
-65,15,4.179354
-55,5,4.190357
-68,18,4.230366
-62,12,4.257372
-59,9,4.278377
-54,4,4.288379
-52,2,4.29338
-62,12,4.320386
-123,73,4.481423
-63,13,4.511429
-94,44,4.60958
-84,34,5.447772
-76,26,5.507786
-57,7,5.524789
-98,48,5.632814
-100,100,5.859865
-53,3,5.867867
-52,2,5.872868
-65,15,5.907878
-75,25,5.964891
-71,21,6.012902
-119,69,6.168937
-93,43,6.266959
-79,29,6.334975
-53,3,6.342976
-78,28,6.408991
-95,45,6.516016
20,30,6.586031
-65,15,6.622039
19,31,6.695055
-62,12,6.723062
-71,21,6.771073
-52,2,6.777074
-80,30,6.84609
-100,100,7.07114
-65,15,7.106148
-74,24,7.161161
-64,14,7.193168
-78,28,7.257182
-77,27,7.318331
6,44,7.417353
-86,36,7.501372
-126,76,7.673411
-83,33,7.74955
-52,2,7.755551
-52,2,7.761553
-52,2,7.766554
-60,10,7.789559
-55,5,7.800562
-1,51,7.917588
-91,41,8.010609
-63,13,8.041616
-79,29,8.106631
-72,22,8.156642
-54,4,8.166644
-54,4,8.177646
-83,33,8.253666
-65,15,8.288674
-73,23,8.339685
-70,20,8.385695
-60,10,8.4087
-54,4,8.419703
30,20,8.466714
-100,100,8.691888
-88,38,8.779908
29,21,8.847923
-100,100,9.173996
-61,11,9.211007
-54,4,9.22601
-68,18,9.284024
-56,6,9.306029
-117,67,9.522077
-41,91,9.814164
-108,58,10.000207
-103,53,10.174369
-61,11,10.209377
-82,32,10.310399
-109,59,10.501473
-56,6,10.520478
-102,52,11.507054
-102,52,11.629082
-54,4,11.640084
-71,21,11.691096
-36,86,11.891143
-68,18,11.934153
-91,41,12.030174
-75,25,12.091191
-97,47,12.201216
-66,16,12.240748
-63,13,12.272756
-80,30,12.342771
-59,9,12.362775
-100,100,12.594828
-60,10,12.617833
-102,52,12.739377
-39,89,12.949425
-71,21,12.999436
-100,100,13.230488
0,50,13.348634
-72,22,13.400647
-58,8,13.420651
-57,7,13.438655
7,43,13.539677
-59,9,13.562683
-52,2,13.567684
-100,100,13.801736
23,27,13.865751
20,30,13.935766
17,33,14.014787
-137,87,14.217833
-73,23,14.272845
-70,20,14.320856
-105,55,14.448886
-140,90,14.658056
-69,19,14.702066
-100,100,14.93412
-59,9,14.956125
-100,100,15.18731
-68,18,15.229319
-133,83,15.422363
-94,44,15.525504
-114,64,15.68154
-72,22,15.733552
-78,28,15.803567
-80,30,15.874715
-100,50,15.991742
-102,52,16.112769
34,16,16.150778
-91,41,16.2478
-115,65,17.196305
-90,40,17.290849
-127,77,17.466889
