#{"t_start": 1654795818.522481, "env_id": "env.spec.id"}
r,l,t
-75.0,2,0.012002
-403.125,27,0.06552
-212.5,10,0.087525
-353.125,25,0.137148
-193.75,9,0.155152
-87.5,3,0.162153
-112.5,4,0.170155
-668.75,57,0.28018
-112.5,4,0.289277
-125.0,5,0.298184
-350.0,22,0.341553
-325.0,23,0.385983
-93.75,4,0.393985
-400.0,26,0.444783
-321.875,20,0.483352
-100.0,4,0.492353
-75.0,2,0.496353
-428.125,37,0.566691
-218.75,17,0.599698
-437.5,32,0.661353
-146.875,10,0.681357
-765.625,59,0.79518
-175.0,9,0.811883
-300.0,15,0.840733
-325.0,22,0.880556
-256.25,13,0.906563
-193.75,14,0.932568
-87.5,3,0.93857
-262.5,12,0.962575
-293.75,18,0.997584
-381.25,29,1.053644
-75.0,2,1.056644
-337.5,16,1.086307
-150.0,6,1.09831
-100.0,4,1.108312
-321.875,20,1.147041
-175.0,8,1.163044
-425.0,34,1.228421
-343.75,23,1.27143
-162.5,7,1.284433
-243.75,15,1.31309
-131.25,6,1.326093
-162.5,6,1.337304
-87.5,3,1.342305
-75.0,2,1.347306
-125.0,7,1.361309
-225.0,10,1.380141
-331.25,20,1.419006
-840.625,68,1.549726
-353.125,24,1.596406
-293.75,20,1.633233
-281.25,25,1.681325
-440.625,31,1.741338
-303.125,22,1.782483
-212.5,11,1.803806
-87.5,3,1.808807
-321.875,29,1.862548
-440.625,31,1.916355
-125.0,5,1.926357
-131.25,6,1.93836
-603.125,55,2.044165
-75.0,2,2.048166
-112.5,4,2.056167
-162.5,9,2.074176
-212.5,17,2.106183
-453.125,33,2.167511
-75.0,2,2.172513
-346.875,30,2.228753
-275.0,20,2.265629
-196.875,18,2.299314
-350.0,25,2.34824
-165.625,11,2.370245
-181.25,10,2.389095
-134.375,9,2.4061
-87.5,3,2.412101
-400.0,36,2.481698
-275.0,18,2.516937
-153.125,10,2.536419
-137.5,5,2.547422
-75.0,2,2.550422
-778.125,63,2.670756
-271.875,19,2.706764
-353.125,20,2.745828
-200.0,9,2.762981
-75.0,2,2.766982
-643.75,45,2.853924
-146.875,10,2.872929
-446.875,26,2.92122
-1021.875,79,3.070081
-112.5,4,3.078346
-143.75,9,3.095351
-190.625,15,3.125358
-225.0,10,3.144191
-337.5,24,3.190507
-181.25,11,3.21256
-375.0,23,3.25657
-112.5,4,3.263571
-137.5,5,3.273573
-112.5,5,3.282576
-131.25,6,3.29558
-556.25,45,3.378597
-521.875,38,3.452596
-243.75,16,3.482758
-606.25,49,3.5765
-325.0,16,3.606369
-202.0,15,3.635115
-275.0,17,3.669122
-168.75,10,3.689127
-75.0,2,3.693128
-112.5,6,3.705132
-200.0,8,3.720755
-243.75,14,3.748249
-105.125,14,3.773959
-87.5,3,3.77996
-118.75,5,3.790962
-87.5,3,3.797964
-250.0,13,3.821789
-234.375,16,3.854116
-259.375,16,3.883118
-387.5,22,3.926922
-337.5,24,4.830011
-193.75,12,4.853016
-112.5,5,4.863018
-143.75,7,4.877021
-181.25,9,4.895845
-350.0,21,4.93665
-75.0,2,4.94065
-125.0,5,4.950653
-181.25,10,4.971658
-181.25,10,4.990957
-243.75,13,5.016481
-137.5,5,5.026483
-93.75,4,5.034484
-45.75,14,5.063491
-293.75,19,5.115004
-209.375,18,5.164932
-75.0,2,5.171934
-318.75,16,5.213421
-712.5,56,5.367368
-212.5,14,5.41088
-75.0,2,5.416342
-175.0,8,5.439577
-143.75,6,5.459368
-178.125,12,5.493058
-262.5,20,5.549326
-112.5,6,5.56633
-143.75,7,5.589245
-93.75,4,5.598874
-106.25,5,5.613502
-234.375,15,5.659208
-250.0,17,5.709175
-212.5,13,5.745725
-281.25,18,5.796712
-103.125,6,5.813686
-125.0,5,5.82969
-125.0,5,5.844396
-150.0,6,5.860974
-381.25,34,5.960067
-100.0,3,5.967068
-143.75,7,5.988198
-223.875,22,6.0529
-268.75,22,6.111332
-381.25,24,6.180533
