#{"t_start": 1654691494.5922852, "env_id": "env.spec.id"}
r,l,t
-54,4,0.011002
-110,60,0.101169
-64,14,0.122173
-74,24,0.162182
-95,45,0.231199
-97,47,0.301214
-57,7,0.312217
-64,14,0.333221
-53,3,0.337222
-54,4,0.344224
-57,7,0.354226
-64,14,0.376231
-58,8,0.388234
-66,16,0.412239
-57,7,0.422241
-64,14,0.443246
-55,5,0.451248
-68,18,0.478254
-52,2,0.482255
-52,2,0.485256
-77,27,0.525265
-146,96,0.663296
-59,9,0.677299
-84,34,0.725309
-56,6,0.734312
-66,16,0.757317
-75,25,0.793325
-67,17,0.818331
-57,7,0.828333
-52,2,0.832334
-59,9,0.845337
-65,15,0.867341
-60,10,0.882345
-57,7,0.892347
-55,5,0.900349
-100,100,1.041381
-55,5,1.048383
-67,17,1.072388
-60,10,1.087391
-57,7,1.097394
-74,24,1.132401
-54,4,1.138403
-56,6,1.147405
-55,5,1.155407
-61,11,1.17141
-76,26,1.208418
-57,7,1.219421
-54,4,1.225422
-113,63,1.314443
-66,16,1.337447
-61,11,1.353451
-59,9,1.366455
-81,31,1.409467
-54,4,1.415468
-75,25,1.451476
-58,8,1.462478
-53,3,1.467479
-53,3,1.47248
-52,2,1.475481
-98,48,1.542496
-53,3,1.547497
-62,12,1.565501
-61,11,1.581505
-59,9,1.594508
-53,3,1.599509
-98,48,1.666524
-55,5,1.673526
-69,19,1.700532
-70,20,1.729539
-56,6,1.738541
-76,26,1.774548
-70,20,1.802555
-66,16,1.82556
-55,5,1.833562
-71,21,1.862568
-65,15,1.884574
-64,14,1.904578
-93,43,1.965591
-80,30,2.007601
-67,17,2.032607
-55,5,2.039608
-63,13,2.058613
-66,16,2.080617
-75,25,2.116626
-56,6,2.124627
-53,3,2.129628
-62,12,2.146632
-66,16,2.169638
-62,12,2.186641
-61,11,2.202645
-62,12,2.219649
-67,17,2.243654
-53,3,2.248655
-59,9,2.261659
-67,17,2.285664
-70,20,2.31367
-54,4,2.320671
-52,2,2.323672
-83,33,2.369683
-71,21,2.399689
-83,33,2.4457
-97,47,2.511715
-57,7,2.522717
-56,6,2.531719
-55,5,2.538721
-65,15,2.559726
-64,14,2.58073
-61,11,2.596734
-56,6,2.605736
-71,21,2.635742
-55,5,2.643744
-57,7,2.653746
-55,5,2.661748
-75,25,2.696756
-65,15,2.717761
-64,14,2.737765
-60,10,2.752769
-52,2,2.75577
-52,2,2.759771
-71,21,2.788895
-54,4,2.794896
-79,29,2.836906
-88,38,2.889918
-53,3,2.894919
-71,21,2.923925
-60,10,2.938928
-65,15,2.960934
-79,29,3.682097
-75,25,3.717104
-87,37,3.770116
-54,4,3.777117
-72,22,3.808124
-58,8,3.819127
-69,19,3.846133
-65,15,3.867138
-56,6,3.87614
-114,64,3.966162
-57,7,3.977164
-89,39,4.031177
-57,7,4.042179
-55,5,4.050181
-60,10,4.064184
-62,12,4.082189
-54,4,4.088189
-57,7,4.099192
-97,47,4.166207
-112,62,4.253227
